IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
194,False evidence to convict capital offence,Giving evidence to convict someone of a capital offence,Life imprisonment or death if executed,Non-Bailable,Cognizable,False Evidence & Public Justice
195,False evidence to convict life/other imprisonment,Giving evidence to convict of imprisonment for life or other term,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,False Evidence & Public Justice
195A,Threat to give false evidence,Threatening anyone to give false evidence,Same as for false evidence,Non-Bailable,Cognizable,False Evidence & Public Justice
196,Using false evidence,Using evidence known to be false,Same punishment as giving false evidence,Bailable,Non-Cognizable,False Evidence & Public Justice
197,False certificate,Issuing false certificate,Same punishment as false evidence,Bailable,Non-Cognizable,False Evidence & Public Justice
198,Using false certificate,Using known false certificate,Same as Section 197,Bailable,Non-Cognizable,False Evidence & Public Justice
199,False statement in declaration,False declaration accepted as evidence,Same as Section 193,Bailable,Non-Cognizable,False Evidence & Public Justice
200,Using false declaration,Using such declaration knowing it is false,Same as Section 199,Bailable,Non-Cognizable,False Evidence & Public Justice
201,Disappearance of evidence,Causing disappearance to protect offender,"7 years (capital), 3 years (life), 1 year (other) + fine",Depends on offence,Depends on offence,False Evidence & Public Justice
202,Not informing offence,Failure to inform offence by person legally bound,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
203,False information of offence,Giving false info about a committed offence,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
204,Destruction of evidence,Destroying document to prevent it from being evidence,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
205,False personation in proceeding,Pretending to be someone in a legal proceeding,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
206,Fraudulent concealment to prevent seizure,Hiding/removing property from lawful seizure,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
207,Fraudulent claim to prevent seizure,False claim to avoid lawful seizure,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
208,Fraudulently suffering decree,Allowing decree against self for unduly amount,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
209,False claim in court,Knowingly making a false claim,"Imprisonment up to 2 years, and fine",Bailable,Non-Cognizable,False Evidence & Public Justice
210,Fraudulently obtaining decree,Getting decree for unduly sum,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
211,False charge of offence,False accusation intending to injure,Up to 2 years (if minor offence); 7 years (if serious offence),Bailable/Non-Bailable (depends),Cognizable,False Evidence & Public Justice
212,Harbouring offender,Sheltering a person guilty of offence,"5 years (capital), 3 years (life), 1 year (others)",Bailable,Non-Cognizable,False Evidence & Public Justice
213,Taking gift to screen offender,Accepting reward to hide offender,"7 years (capital), 3 years (others) + fine",Non-Bailable,Cognizable,False Evidence & Public Justice
214,Offering gift to screen offender,Offering reward to conceal offence,Same as Section 213,Non-Bailable,Cognizable,False Evidence & Public Justice
215,Gift to recover stolen property,Taking gift to help recover property instead of prosecuting,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
216,Harbouring escaped offender,Sheltering escaped criminal,"7 years (capital), 3 years (others)",Non-Bailable,Cognizable,False Evidence & Public Justice
216A,Harbouring robbers/dacoits,Knowingly harbouring dacoits,Rigorous imprisonment up to 7 years and fine,Non-Bailable,Cognizable,False Evidence & Public Justice
217,Public servant saving offender/property,Disobeying law to save offender or property,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
218,Framing incorrect record to save person,Public servant falsifying records,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
219,Judicial officer acting corruptly,Giving decision contrary to law,"Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,False Evidence & Public Justice
220,Committing unlawful confinement,Wrongful confinement knowing it to be illegal,"Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,False Evidence & Public Justice
221,Omission to apprehend,Failing to arrest when bound to,Up to 3 years (or 7 years if capital offence),Bailable,Cognizable,False Evidence & Public Justice
222,Omission to apprehend sentenced person,Public servant not arresting convicted person,3 or 7 years depending on sentence,Bailable,Cognizable,False Evidence & Public Justice
223,Negligent escape,Letting escape happen due to negligence,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
224,Resistance to arrest,Resisting one’s own lawful arrest,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,False Evidence & Public Justice
225,Resisting another's arrest,Helping someone escape lawful arrest,Imprisonment up to 2 years (up to 7 if capital),Non-Bailable (capital); otherwise Bailable,Cognizable,False Evidence & Public Justice
225A,Omission to apprehend (not otherwise provided),Failure to arrest/stop escape in unspecified case,Same as original punishment,Bailable,Cognizable,False Evidence & Public Justice
225B,Obstruction to apprehension/rescue,Obstructing arrest or helping escape,Same as original punishment,Bailable,Cognizable,False Evidence & Public Justice
227,Violation of remission conditions,Violating condition of sentence remission,Imprisonment for remaining sentence,Bailable,Cognizable,False Evidence & Public Justice
228,Insult or interruption in judicial proceeding,Insulting or interrupting public servant in court,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Non-Cognizable,False Evidence & Public Justice
228A,Disclosure of rape victim identity,Publishing name/address of rape victim,Imprisonment up to 2 years and fine,Bailable,Cognizable,False Evidence & Public Justice
229,Personation of juror or assessor,Impersonating juror in legal process,Imprisonment up to 2 years,Bailable,Non-Cognizable,False Evidence & Public Justice
229A,Bail absconding,Failure to appear in court when on bail,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,False Evidence & Public Justice
230,“Coin” and “Indian coin” defined,Legal definitions,Not penal,Not Specified,Not Specified,Coin & Govt Stamps
231,Counterfeiting coin,Making fake coin,Imprisonment up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
232,Counterfeiting Indian coin,Counterfeiting Indian coin,"Life imprisonment, or up to 10 years + fine",Non-Bailable,Cognizable,Coin & Govt Stamps
233,Making/selling tools for counterfeiting coin,Making/selling instruments to counterfeit,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
234,Making/selling tools for Indian coin,For Indian coin,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
235,Possession of tools/materials to counterfeit coin,Keeping tools for counterfeiting,Up to 3 years + fine (7 years if Indian coin),Bailable / Non-Bailable,Cognizable,Coin & Govt Stamps
236,Abetting counterfeiting outside India,Aiding fake coin manufacturing abroad,Same as for counterfeiting coin,Non-Bailable,Cognizable,Coin & Govt Stamps
237,Import/export counterfeit coin,Bringing counterfeit coins into/out of India,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
238,Import/export counterfeit Indian coin,"Same, but Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
239,Delivering counterfeit coin knowingly,Giving fake coin to others,Up to 5 years + fine,Bailable,Cognizable,Coin & Govt Stamps
240,Delivering counterfeit Indian coin knowingly,"Same, but Indian coin",Up to 10 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
241,Delivering coin later found counterfeit,Did not know it was fake initially,Up to 2 years + fine,Bailable,Cognizable,Coin & Govt Stamps
242,Possession of counterfeit coin,Knew coin was fake when received,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
243,Possession of counterfeit Indian coin,"Same, Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
244,Mint worker making coins of wrong spec,Employed in mint violating standards,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
245,Unlawfully taking coin tool from mint,Taking coining instrument,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
246,Altering coin composition,Changing metal/weight,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
247,Altering Indian coin composition,"Same, Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
248,Altering coin appearance,To make it pass as another coin,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
249,Altering Indian coin appearance,"Same, Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
250,Delivering altered coin,Knew it was altered,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
251,Delivering altered Indian coin,"Same, Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
252,Possession of altered coin,Knew it was altered when received,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
253,Possession of altered Indian coin,"Same, Indian coin",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
254,Delivering altered coin (unaware initially),Deliverer didn't know it was altered initially,Up to 2 years + fine,Bailable,Cognizable,Coin & Govt Stamps
255,Counterfeiting government stamp,Forging revenue/postage stamp,Life imprisonment or 10 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
256,Possession of tools to counterfeit stamp,Tools/materials to forge stamps,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
257,Making/selling tools for fake stamp,Tools for stamp forgery,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
258,Selling counterfeit stamp,Selling knowingly fake stamp,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
259,Possession of counterfeit stamp,Knowing it's forged,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
260,Using known fake stamp,Using a counterfeit stamp knowingly,Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
261,Removing writing/stamp to cheat Govt,Altering stamp or document to cause loss to govt,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
262,Using previously used Govt stamp,Reusing used stamp,Up to 2 years + fine,Bailable,Cognizable,Coin & Govt Stamps
263,Erasing used mark on stamp,Tampering with stamp to reuse,Up to 3 years + fine,Bailable,Cognizable,Coin & Govt Stamps
263A,Prohibition of fictitious stamps,"Using, possessing or selling fake ""non-existent"" stamps",Up to 7 years + fine,Non-Bailable,Cognizable,Coin & Govt Stamps
264,Fraudulent use of false instrument for weighing,Using knowingly a false instrument for weighing fraudulently,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Weights and Measures
265,Fraudulent use of false weight or measure,Fraudulently using false weight or measure,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Weights and Measures
266,Being in possession of false weight or measure,Having in possession any false weight or measure for fraudulent use,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Weights and Measures
267,Making or selling false weight or measure,"Making, selling or disposing of any false weight or measure knowingly","Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Weights and Measures
268,Public nuisance,"Doing any act or illegal omission causing common injury, danger or annoyance to public",Not punishable directly under this section,not specified,not specified,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
269,Negligent act likely to spread infection of disease dangerous to life,Negligently doing act likely to spread infection of disease dangerous to life,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
270,Malignant act likely to spread infection of disease dangerous to life,Malignantly doing act likely to spread infection of disease dangerous to life,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
271,Disobedience to quarantine rule,Knowingly disobeying quarantine rule,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
272,Adulteration of food or drink intended for sale,Adulterating food or drink to make it harmful,"Imprisonment up to 6 months, and fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
273,Sale of noxious food or drink,Selling noxious food or drink,"Imprisonment up to 6 months, and fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
274,Adulteration of drugs,Adulterating drugs to make them harmful,"Imprisonment up to 6 months, and fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
275,Sale of adulterated drugs,Selling adulterated drugs,"Imprisonment up to 6 months, and fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
276,Sale of drug as a different drug or preparation,Selling drug as different drug or preparation,"Imprisonment up to 6 months, and fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
277,Fouling water of public spring or reservoir,Fouling public spring or reservoir,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
278,Making atmosphere noxious to health,Making atmosphere noxious to health,Fine up to ₹500,Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
279,Rash driving or riding on a public way,Driving/riding rashly on public way,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
280,Rash navigation of vessel,Navigating vessel rashly,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
281,"Exhibition of false light, mark or buoy",Exhibiting false light/mark/buoy to mislead navigation,"Imprisonment up to 7 years, or fine, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
282,Conveying person by water for hire in unsafe or overloaded vessel,Using unsafe or overloaded vessel for carrying people,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
283,Danger or obstruction in public way or line of navigation,Causing danger/obstruction in public way or navigation,Fine up to ₹200,Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
284,Negligent conduct with respect to poisonous substance,Negligent handling of poisonous substance,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
285,Negligent conduct with respect to fire or combustible matter,Negligent handling of fire/combustible matter,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
286,Negligent conduct with respect to explosive substance,Negligent handling of explosive substance,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
287,Negligent conduct with respect to machinery,Negligent handling of machinery,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
288,Negligent conduct with respect to pulling down or repairing buildings,Negligent handling during demolition or repair of buildings,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
289,Negligent conduct with respect to animal,Negligent handling of animal causing danger,"Imprisonment up to 6 months, or fine up to ₹1,000, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
290,Punishment for public nuisance in cases not otherwise provided for,Committing public nuisance not covered under other sections,Fine up to ₹200,Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
291,Continuance of nuisance after injunction to discontinue,Continuing nuisance after order to stop,"Imprisonment up to 6 months, fine, or both",Bailable,Non-Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
292,"Sale, etc., of obscene books, etc.","Sale/distribution of obscene books, etc.","Imprisonment up to 2 years, fine up to ₹2,000, or both (first conviction); up to 5 years and ₹5,000 (subsequent)",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
293,"Sale, etc., of obscene objects to young person",Sale of obscene objects to persons under 20 years,"Imprisonment up to 3 years, and fine up to ₹2,000",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
294,Obscene acts and songs,Obscene acts/songs in public,"Imprisonment up to 3 months, or fine, or both",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
294A,Keeping lottery office,Keeping lottery office,"Imprisonment up to 6 months, or fine, or both (for unauthorized lottery); up to 1 year or fine or both (for printing)",Bailable,Cognizable,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals"
295,"Injuring or defiling place of worship, with intent to insult the religion of any class","Destroying, damaging or defiling a place of worship or sacred object to insult religion","Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Relating to Religion
295A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs","Deliberate, malicious acts intended to outrage religious feelings by insulting religion","Imprisonment up to 3 years, or fine, or both",Non-Bailable,Cognizable,Offences Relating to Religion
296,Disturbing religious assembly,Voluntarily causing disturbance to lawful religious assembly,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences Relating to Religion
297,"Trespassing on burial places, etc.","Trespassing burial places, places of worship, places for funeral rites with intent to insult religion","Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences Relating to Religion
298,"Uttering words, etc., with deliberate intent to wound the religious feelings","Uttering words, making sounds, gestures, placing objects with deliberate intent to wound religious feelings","Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Religion
299,Culpable homicide,"Causing death with intention or knowledge of causing death, but not amounting to murder","Punishment depends on severity; up to life imprisonment, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
300,Murder,Culpable homicide with specific aggravated intention as defined under Section 300,Death penalty or life imprisonment and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
300(1),When culpable homicide is not murder,Specifies exceptions where culpable homicide doesn't amount to murder,not specified,not specified,not specified,Offences Affecting the Human Body – Of offences affecting life
301,Culpable homicide by causing death of person other than person whose death was intended,Death caused to unintended person during act intended to kill another,Same as for culpable homicide/murder,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
302,Punishment for murder,Punishment provision for murder,Death penalty or life imprisonment and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
303,Punishment for murder by life-convict,Life-convict committing murder (now struck down as unconstitutional by Supreme Court),Previously: Death penalty (Section unconstitutional now),not specified,not specified,Offences Affecting the Human Body – Of offences affecting life
304,Punishment for culpable homicide not amounting to murder,Punishment for culpable homicide not amounting to murder,(i) Imprisonment for life or up to 10 years & fine (if intentional) (ii) Up to 10 years & fine (if without intent but with knowledge),Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
304A,Causing death by negligence,Causing death by rash or negligent act not amounting to culpable homicide,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
304B,Dowry death,Death of woman within 7 years of marriage under suspicious circumstances related to dowry demand,"Minimum 7 years, may extend to life imprisonment",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
305,Abetment of suicide of child or insane person,"Abetment of suicide by child (below 18), insane person or intoxicated person",Death penalty or life imprisonment or imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
306,Abetment of suicide,Abetment of suicide of a person,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
307,Attempt to murder,Attempt to commit murder,Imprisonment up to 10 years and fine; life imprisonment if hurt caused,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
307(1),Attempts by life-convicts,Attempt to murder by person already undergoing life imprisonment,Life imprisonment or death penalty,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
308,Attempt to commit culpable homicide,Attempt to commit culpable homicide,Imprisonment up to 3 years and fine; up to 7 years if hurt caused,Bailable (up to 3 years); Non-Bailable (if hurt caused),Cognizable,Offences Affecting the Human Body – Of offences affecting life
309,Attempt to commit suicide,"Attempt to commit suicide (Now largely decriminalized under Mental Healthcare Act, 2017)","Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of offences affecting life
310,Thug,Habitually associated with committing robbery or child-lifting by murder,Imprisonment for life,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
311,Punishment,Punishment for being a thug,Imprisonment for life,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of offences affecting life
312,Causing miscarriage,"Voluntarily causing miscarriage, with or without consent, unless done in good faith to save woman's life",Up to 3 years & fine (with consent); up to 7 years & fine (without consent),"Bailable (with consent), Non-Bailable (without consent)",Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
313,Causing miscarriage without woman's consent,Causing miscarriage without woman's consent,Imprisonment for life or up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
314,Death caused by act done with intent to cause miscarriage,Act done with intent to cause miscarriage resulting in woman’s death,Up to 10 years & fine; life imprisonment if act done without woman's consent,Non-Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
314(1),314(1),Aggravating factor under Section 314,Covered under Section 314 above,Non-Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
315,Act done with intent to prevent child being born alive or to cause it to die after birth,Act done before birth with intent to prevent birth or cause death after birth,Up to 10 years & fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
316,Causing death of quick unborn child by act amounting to culpable homicide,Causing death of quick unborn child by act amounting to culpable homicide,Up to 10 years & fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it",Abandoning or exposing child under 12 years by parent or guardian,Up to 7 years & fine,Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
318,Concealment of birth by secret disposal of dead body,Secretly disposing dead body of child to conceal its birth,"Up to 2 years, or fine, or both",Bailable,Cognizable,Offences Affecting the Human Body – Miscarriage & Related Offences
319,Hurt,"Causing bodily pain, disease or infirmity","Defined term only, no punishment",not specified,not specified,Offences Affecting the Human Body – Of Hurt
320,Grievous hurt,"Serious injuries specified in law (e.g. emasculation, permanent loss of senses, etc.)","Defined term only, no punishment",not specified,not specified,Offences Affecting the Human Body – Of Hurt
321,Voluntarily causing hurt,Voluntarily causing hurt as defined under Section 319,not specified,not specified,not specified,Offences Affecting the Human Body – Of Hurt
322,Voluntarily causing grievous hurt,Voluntarily causing grievous hurt as defined under Section 320,not specified,not specified,not specified,Offences Affecting the Human Body – Of Hurt
323,Punishment for voluntarily causing hurt,Punishment for voluntarily causing hurt,"Imprisonment up to 1 year, or fine up to ₹1,000, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
324,Voluntarily causing hurt by dangerous weapons or means,Using dangerous weapons or means to cause hurt,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
325,Punishment for voluntarily causing grievous hurt,Punishment for voluntarily causing grievous hurt,Imprisonment up to 7 years and fine,Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
326,Voluntarily causing grievous hurt by dangerous weapons or means,Causing grievous hurt using dangerous weapons or means,"Imprisonment up to life or 10 years, and fine",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
326A,"Voluntarily causing grievous hurt by use of acid, etc.",Causing grievous hurt by throwing acid or similar substances,"Minimum 10 years, up to life imprisonment and fine (minimum ₹10 lakh fine)",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
326B,Voluntarily throwing or attempting to throw acid,Attempting to throw acid with intent to cause harm,"Minimum 5 years, up to 7 years, and fine",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act",Causing hurt to extort property or force an illegal act,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
328,"Causing hurt by means of poison, etc., with intent to commit an offence",Administering poison or intoxicants with intent to commit an offence,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act",Causing grievous hurt to extort property or force an illegal act,Imprisonment up to life or 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property",Causing hurt to extort confession or compel restoration of property,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property",Causing grievous hurt to extort confession or compel restoration of property,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
332,Voluntarily causing hurt to deter public servant from his duty,Causing hurt to deter a public servant from duty,"Imprisonment up to 3 years, or fine, or both",Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
333,Voluntarily causing grievous hurt to deter public servant from his duty,Causing grievous hurt to deter a public servant from duty,Imprisonment up to 10 years and fine,Non-Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
334,Voluntarily causing hurt on provocation,Causing hurt on sudden provocation,"Imprisonment up to 1 month, or fine up to ₹500, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
335,Voluntarily causing grievous hurt on provocation,Causing grievous hurt on sudden provocation,"Imprisonment up to 4 years, or fine up to ₹2,000, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
336,Act endangering life or personal safety of others,Any rash/negligent act endangering human life or personal safety,"Imprisonment up to 3 months, or fine up to ₹250, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
337,Causing hurt by act endangering life or personal safety of others,Causing hurt by rash/negligent act endangering life,"Imprisonment up to 6 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Offences Affecting the Human Body – Of Hurt
338,Causing grievous hurt by act endangering life or personal safety of others,Causing grievous hurt by rash/negligent act endangering life,"Imprisonment up to 2 years, or fine up to ₹1,000, or both",Bailable,Cognizable,Offences Affecting the Human Body – Of Hurt
339,Wrongful restraint,Obstructing a person to prevent lawful movement,Defined only,not specified,not specified,Wrongful Restraint & Wrongful Confinement
340,Wrongful confinement,Wrongfully restraining a person in a way that prevents them from moving beyond a certain limit,Defined only,not specified,not specified,Wrongful Restraint & Wrongful Confinement
341,Punishment for wrongful restraint,Punishment for wrongful restraint,"Imprisonment up to 1 month, or fine up to ₹500, or both",Bailable,Non-Cognizable,Wrongful Restraint & Wrongful Confinement
342,Punishment for wrongful confinement,Punishment for wrongful confinement,"Imprisonment up to 1 year, or fine up to ₹1,000, or both",Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
343,Wrongful confinement for three or more days,Wrongful confinement for 3+ days,Imprisonment up to 2 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
344,Wrongful confinement for ten or more days,Wrongful confinement for 10+ days,Imprisonment up to 3 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
345,Wrongful confinement of person for whose liberation writ has been issued,Confining person despite writ for their release,Imprisonment up to 2 years and fine,Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
346,Wrongful confinement in secret,Wrongful confinement in secret places,"Imprisonment up to 2 years, in addition to other punishment",Bailable,Cognizable,Wrongful Restraint & Wrongful Confinement
