Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
National Child Labour Project (NCLP),Child Labour Eradication,Rehabilitation and education of child labourers and bonded labourers through support to voluntary agencies.,https://www.myschemes.gov.in,None,None,Any,Any,null,"Child Labourers, Bonded Labourers",No,Any,Any,Central,None,No,Yes,Rescued child/bonded labourers via surveys; supported by eligible NGOs/voluntary agencies
National Career Services (NCS),Employment & Career Guidance,"Online platform for job search, vocational guidance, skill development, and employer–job seeker interaction.",https://www.myschemes.gov.in,None,None,Any,Any,null,"Job Seekers, Employers, Skill Providers",No,Any,Any,Central,10th Pass,No,No,Open to all registered users on NCS portal
New Employment Generation Scheme,Employment Generation & Entrepreneurship,Supports self-employment and entrepreneurship through credit and subsidies to generate employment.,https://www.myschemes.gov.in,None,None,Any,Any,Below ₹1 Lakh,"Entrepreneurs, MSMEs, Unemployed Youth",No,Any,Any,Central,10th Pass,No,No,"Eligible MSMEs, unemployed youth, and self-employed individuals"
Designing Innovative Solutions for Holistic Access to Justice in India (DISHA),Legal Access & Innovation,Tech-driven legal aid and awareness initiative to enhance justice accessibility.,https://www.myschemes.gov.in,None,None,Any,Any,null,"Legal NGOs, Law Universities, Tech Providers",No,Any,Any,Central,Graduate+,No,No,Implemented through legal services institutions and approved partners
e-Courts Phase II,Judicial Digitization (Phase-II),Modernizes district and subordinate courts with computerization and centralized information systems.,https://www.myschemes.gov.in,None,None,Any,Any,null,"Judiciary Officials, Legal Admin",No,Any,Any,Central,Graduate+,No,No,Implemented by district courts and high courts across states
e-Courts Phase III,Judicial Digitization (Phase-III),"Paperless, AI-powered judiciary with system-wide digital integration of courts, police, and prosecution.",https://www.myschemes.gov.in,None,None,Any,Any,null,"Judiciary Officials, Govt IT Partners",No,Any,Any,Central,Graduate+,No,No,"All courts under High Courts, with NIC, State, and DoJ coordination"
Expansion of Supreme Court Building,Judicial Infrastructure,"Infrastructure expansion and modernization of Supreme Court facilities like courtrooms, chambers, and admin blocks.",https://www.myschemes.gov.in,None,None,Any,Any,null,"Govt Department (CPWD), Judiciary",No,Any,Any,Central,Graduate+,No,No,Supreme Court and CPWD; no public-facing eligibility
Scheme for Fund for Regeneration of Traditional Industries (SFURTI),Traditional Industries Cluster Development,"Revives traditional industries by establishing CFCs and providing training, tech, and marketing support.",https://www.myschemes.gov.in,None,None,Any,Any,Below ₹1 Lakh,"Artisan, Weaver, Cluster Entrepreneur",No,Any,Any,Central,10th Pass,No,No,"Traditional industry clusters, artisans, and craft workers"
Coir Vikas Yojana,Coir Industry Development,"Boosts coir sector with modernization, skill dev, and marketing assistance for coir products and MSMEs.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Coir Workers, MSMEs, Entrepreneurs",No,Any,Any,Central,10th Pass,No,No,"Coir industry units, MSMEs, and individual entrepreneurs"
Khadi Gramodyog Vikas Yojana,Khadi & Village Industries,"Supports infrastructure, training, and marketing for khadi and village-based entrepreneurs.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Khadi Entrepreneur, Artisan, Self-Help Group",No,Any,Any,Central,10th Pass,No,No,"Khadi institutions, artisans, SHGs in village industries"
"ASPIRE (A Scheme for Promotion of Innovation, Rural Industry, and Entrepreneurship)",Rural Entrepreneurship Development,Promotes rural innovation & entrepreneurship via business incubators and skill hubs.,https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Rural Entrepreneur, Startup, Innovator",No,Any,Any,Central,Graduate+,No,No,"Rural innovators, SHGs, institutions with TBIs/LBIs"
Prime Minister Employment Generation Programme (PMEGP),Self-Employment & Credit Linked Subsidy,Credit-linked subsidy for generating micro-enterprises in the non-farm sector.,https://www.myschemes.gov.in,18,None,Any,Any,"₹27,000–1 Lakh","Entrepreneur, SHG, Artisan, Cooperative",No,Any,Any,Central,10th Pass,No,No,"Individuals above 18 years, SHGs, co-ops as per KVIC norms"
Credit Support Programme,MSME Credit Support,Offers interest subsidies and guarantees to MSMEs to facilitate access to credit for technology upgrades.,https://www.myschemes.gov.in,None,None,Any,Any,Above ₹1 Lakh,"MSME Owner, Registered Small Business",No,Any,Any,Central,Graduate+,No,No,Registered MSMEs under CGTMSE and SIDBI/NSIC norms
Guarantee Emergency Credit Line (GECL),Emergency Credit Support,Offers additional working capital to eligible borrowers under ECLGS to recover from COVID impact.,https://www.myschemes.gov.in,None,None,Any,Any,Above ₹1 Lakh,Existing MSME Borrower,No,Any,Any,Central,12th Pass,No,No,Existing borrowers with loans pre-COVID under ECLGS
Credit Linked Capital Subsidy (CLCS),Capital Subsidy for MSMEs,Provides capital subsidy for tech upgradation to improve competitiveness.,https://www.myschemes.gov.in,None,None,Any,Any,Above ₹1 Lakh,"Registered MSME, Tech Enterprise",No,Any,Any,Central,Graduate+,No,No,Registered MSMEs with eligible tech upgradation plans
Procurement and Marketing Support Scheme,MSME Market Access,"Assists MSMEs in market promotion via fairs, exhibitions, e-commerce, etc.",https://www.myschemes.gov.in,None,None,Any,Any,Any,"MSME, Manufacturer, Exporter",No,Any,Any,Central,10th Pass,No,No,Registered MSMEs participating via notified nodal agencies
Assistance to Training Institutions,MSME Skill Development & Training,Financial support to institutions for conducting training in skill and entrepreneurship development.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Training Institution, Trainer",No,Any,Any,Central,Graduate+,No,No,Govt & private MSME-focused training institutions
Fund of Funds,MSME Equity Infusion,Provides equity support to viable MSMEs for growth via Self-Reliant India Fund’s Daughter Funds.,https://www.myschemes.gov.in,None,None,Any,Any,Above ₹1 Lakh,"MSME, Equity-seeking Company",No,Any,Any,Central,Graduate+,No,No,Growth-stage MSMEs under Self-Reliant India Fund norms
Entrepreneurship cum Skill Development Programme (ESDP),Skill Development & Entrepreneurship,"Trains youth, women, and weaker sections to promote self-employment.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Youth, Aspiring Entrepreneur, Women",No,Any,Any,Central,10th Pass,No,No,"Open to youth, SC/ST/OBC/women via certified training centres"
Establishment of New Technology Centres,MSME Technology Support,Builds technical infrastructure and capacity through advanced tech centres.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"MSME, Startup, Trainee",No,Any,Any,Central,Graduate+,No,No,MSMEs/startups/trainees seeking tech or design/tool support
Technology Centre Systems Programme (TCSP) (EAP),Technology Upgradation,"Boosts competitiveness of MSMEs through tooling, testing, and design services at Technology Centres.",https://www.myschemes.gov.in,None,None,Any,Any,Any,"MSME, Trainee, Entrepreneur",No,Any,Any,Central,12th Pass,No,No,MSMEs or individuals availing services from Technology Centres
Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),Cluster Development,"Enhances MSME cluster competitiveness via shared infrastructure, capacity building, and support systems.",https://www.myschemes.gov.in,None,None,Any,Any,Any,MSME Cluster Stakeholder,No,Any,Any,Central,Graduate+,No,No,Clusters of MSMEs meeting MSE-CDP guidelines
Tool Rooms & Technical Institutions (TR/TIs),Technical Support & Skill Development,Offers industrial training and tooling services to MSMEs and youth to boost technical capacity.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Trainee, Student, MSME",No,Any,Any,Central,10th Pass,No,No,MSMEs and individuals eligible for tooling/training programs
Promotion of MSMEs in NER and Sikkim,MSME Development in NER & Sikkim,"Strengthens MSME ecosystem in NE states and Sikkim through infrastructure, training, and financial aid.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Entrepreneur, MSME",No,Any,Any,"Assam, Arunachal, Meghalaya, Mizoram, Manipur, Nagaland, Tripura, Sikkim",12th Pass,No,No,MSMEs/entrepreneurs based in NER or Sikkim
National Schedule Caste/Schedule Tribe Hub Centre,SC/ST Entrepreneurs’ Support,Provides financial and technical support to SC/ST-owned enterprises for capacity building and procurement facilitation.,https://www.myschemes.gov.in,None,None,Any,"SC, ST","₹27,000–1 Lakh","SC/ST Entrepreneur, MSME",No,Any,Any,Central,12th Pass,No,No,SC/ST MSME units registered under NSIC/other bodies
PM Vishwakarma,Artisans & Craftsperson Welfare,"Supports traditional artisans with training, toolkit, skill certification, and access to credit and markets.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Artisan, Craftsperson",No,Any,Any,Central,10th Pass,No,No,Traditional artisans registered under PM Vishwakarma portal
Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,Waqf Property Development,Strengthens State Waqf Boards via IT infrastructure and promotes urban Waqf property development.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Waqf Board Members, Institutions",No,Any,Muslim,Central,Graduate+,Yes,No,"Waqf boards and registered institutions under Waqf Act, 1995"
Education Empowerment,Minority Education Support,"Offers scholarships, fellowships, and coaching for students from minority communities.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh",Student,No,Any,Any,Central,"10th Pass, 12th Pass, Graduate+",Yes,No,Minority students meeting income and academic criteria
Skill Development and Livelihoods,Minority Skill Development & Employment,Provides training and livelihood support to boost employment among minority youth and women.,https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Trainee, Entrepreneur, Job Seeker",No,Any,Any,Central,10th Pass,Yes,No,"Minority youth, women, entrepreneurs fulfilling scheme criteria"
Special Programmes of Minorities,Minority Community Welfare Initiatives,Targets socio-economic and educational upliftment via area and group-focused schemes.,https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh",Any,No,Any,"Muslim, Christian, Sikh, Buddhist, Jain",Central,10th Pass,Yes,No,Minority individuals/groups as per scheme norms
PM-Viraasat Ka Samvardhan (PM VIKAS),Integrated Minority Welfare Scheme,Umbrella program combining multiple minority livelihood and welfare initiatives.,https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Artisan, Entrepreneur, Trainee",No,Any,"Muslim, Christian, Sikh, Buddhist, Jain",Central,"10th Pass, Graduate+",Yes,No,"Minority communities under NCM Act, 1992 meeting eligibility"
Interest Payment and Issuing Expenses on the Bonds,Financial Instruments for Renewable Energy,Covers interest and issuance costs of bonds for renewable energy projects.,https://www.myschemes.gov.in,None,None,Any,Any,Any,Government Agencies,No,Any,Any,Central,None,No,No,For govt. bodies managing renewable energy bond issuance
Solar Power (Grid),Renewable Energy (Grid Solar),"Supports solar parks, grid-connected solar rooftops, and large-scale solar projects.",https://www.myschemes.gov.in,None,None,Any,Any,Any,"Developers, DISCOMs, Industries, Households",No,Any,Any,Central,None,No,No,"For developers, industries, or individuals setting up grid-tied solar"
Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),Solar Energy for Agriculture,Installs solar pumps and feeder solarization to reduce diesel use in agriculture.,https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh","Farmer, FPO, Cooperative",No,Any,Any,Central,None,No,No,Farmers or groups installing solar pumps/feeders under PM-KUSUM
PM Surya Ghar Muft Bijli Yojana,Residential Rooftop Solar Scheme,"Grants to install rooftop solar for residential buildings, with free electricity benefits.",https://www.myschemes.gov.in,None,None,Any,Any,"₹27,000–1 Lakh",Residential Household,No,Any,Any,Central,None,No,No,Residential households applying for rooftop solar under the scheme
Transfers to Sovereign Green Fund for PM Surya Ghar Muft Bijli Yojana,Renewable Energy Fund Transfers,Budgetary fund transfers to Sovereign Green Fund for the rooftop solar program.,https://www.myschemes.gov.in,None,None,Any,Any,Any,Government Agencies,No,Any,Any,Central,None,No,No,Internal fund allocation for implementing rooftop solar initiative
Wind Power (Grid),Renewable Energy (Wind Power),Supports grid-connected wind power projects through incentives and infrastructure support.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Wind Power Developers, DISCOMs",No,Any,Any,Central,None,No,No,For developers and DISCOMs setting up grid-connected wind energy projects
Hydro Power (Grid),Renewable Energy (Hydro Power),"Supports grid-connected hydropower projects, especially small/medium hydro units.",https://www.myschemes.gov.in,None,None,Any,Any,Any,"Hydropower Developers, SEBs, PSUs, Private Entities",No,Any,Any,Central,None,No,No,For state/private/public developers of grid-based hydro projects
Hydro Power (Off-Grid),Off-Grid Hydro Energy,Supports hydro power in remote areas for decentralized clean electricity generation.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Community Groups, NGOs, Cooperatives, Village Panchayats",No,Any,Any,Central,None,No,No,For communities and institutions in remote areas for off-grid hydro
Green Energy Corridor,Renewable Energy Transmission Infrastructure,Facilitates renewable energy evacuation and transmission infrastructure for grid integration.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"State Utilities, Transmission Cos, RE Developers",No,Any,Any,Central,None,No,No,For agencies building green transmission corridors for RE evacuation
National Green Hydrogen Mission,Green Hydrogen Economy,Promotes green hydrogen production and use with incentives and pilot projects across sectors.,https://www.myschemes.gov.in,None,None,Any,Any,Any,"Industry, PSU, Startups, Electrolyzer Mfg. Cos",No,Any,Any,Central,None,No,No,For industrial/tech entities participating in green hydrogen ecosystem
Bio Power (Off-Grid),Off-Grid Bioenergy,"Promotes off-grid applications of biomass-based energy systems for cooking, heating, and electricity in remote areas.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Farmer"", ""Community"", ""Household"", ""Small Industry""]",Any,Any,Any,Central,None,No,No,"Households, villages, small industries, and community centers in remote/off-grid areas."
Biogas Programme (Off-Grid),Biogas Energy for Cooking & Waste Management,"Promotes installation of biogas plants for clean cooking fuel and waste management, particularly in rural areas.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Farmer"", ""Dairy Owner"", ""Household"", ""Self Help Group""]",Any,Any,Any,Central,None,No,No,"Farmers, households, SHGs, dairy farms eligible for biogas installation subsidies."
Monitoring and Evaluation,Project Monitoring & Policy Review,"Covers costs for monitoring, evaluation, impact assessment, and third-party audits of renewable energy schemes and programs.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Consultant"", ""Agency"", ""Govt Department"", ""Research Org""]",Any,Any,Any,Central,Graduate+,No,No,"Consulting firms, research agencies, and gov. departments under MNRE engagement."
Information and Public Advertising (I&PA),Renewable Energy Awareness & Outreach,"Supports media campaigns, awareness programs, and dissemination of information on renewable energy policies and schemes.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Media Firm"", ""NGO"", ""Govt Agency""]",Any,Any,Any,Central,Graduate+,No,No,"Govt media bodies, NGOs, firms running renewable energy awareness activities."
Human Resources Development and Training,Capacity Building & Training,Develops technical and managerial skills in the renewable energy sector through training programs and capacity building initiatives.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Student"", ""Engineer"", ""Entrepreneur"", ""Technician""]",Any,Any,Any,Central,12th Pass,No,No,"Technical professionals, students, engineers in renewable energy field eligible for training."
Research and Development,Renewable Energy R&D,"Supports applied research and tech development in renewable energy sources, storage, and energy efficiency.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Researcher"", ""Scientist"", ""Academic"", ""Tech Developer"", ""R&D Institute""]",Any,Any,Any,Central,Graduate+,No,No,"Open to universities, R&D institutes, industries involved in RE technology dev."
Svamitva,Land Records & Property Mapping,Maps rural land parcels via drones to provide digital ownership records and property cards.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Landowner"", ""Farmer""]",Any,Any,Any,Central,None,No,No,Rural property owners in mapped villages under state revenue departments.
Training Schemes,Civil Services Training,Covers training programs for civil servants for leadership and governance skills.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Govt Officer"", ""Civil Servant""]",Any,Any,Any,Central,Graduate+,No,No,Civil servants nominated by ministries/departments per DoPT norms.
National Programme for Civil Services Capacity Building (Mission Karmayogi),Civil Services Capacity Building,"Builds capacity of civil servants through digital learning, skill training, and performance tracking.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Civil Servant"", ""Govt Officer""]",Any,Any,Any,Central,Graduate+,No,No,All central government civil servants enrolled under Mission Karmayogi.
Scheme for Administrative Reforms,Governance & Administrative Reforms,"Promotes efficiency, grievance redressal, and e-governance in administration through reforms.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Govt Dept"", ""Admin Staff"", ""e-Governance Team""]",Any,Any,Any,Central,Graduate+,No,No,Central and state gov. depts/orgs involved in reform and process innovation.
Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institutes of DoPT,Infrastructure for Training Institutes,Infrastructure development for integrated DoPT training campus to strengthen civil servant training facilities.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Govt Officer"", ""Training Institute"", ""Civil Services""]",Any,Any,Any,Central,Graduate+,No,No,Targeted at ISTM and DoPT institutes; not citizen-facing scheme.
Payment of Differential Royalty to State Governments,Oil & Gas Royalty Payments,Covers differential royalty payments for crude oil and gas production to producing state governments.,https://myschemes.gov.in,None,None,Any,Any,null,"[""State Government"", ""Revenue Dept""]",Any,Any,Any,Central,None,No,No,For producing State Governments receiving royalty from oil/gas extraction.
Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Caverns),Strategic Petroleum Reserves,Supports construction of underground oil storage caverns under ISPRL for national energy security.,https://myschemes.gov.in,None,None,Any,Any,null,"[""PSU"", ""ISPRL"", ""Oil Infrastructure Developer""]",Any,Any,Any,Central,None,No,No,Applicable to ISPRL under MoPNG for executing strategic oil storage projects.
Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,Strategic Crude Oil Reserve,Funds allocated for procurement and filling of crude oil in strategic reserves to ensure energy security.,https://myschemes.gov.in,None,None,Any,Any,null,"[""PSU"", ""ISPRL"", ""Oil Reserve Authority""]",Any,Any,Any,Central,None,No,No,ISPRL is the eligible implementing agency for crude reserve procurement.
Payment to ISPRL for Strategic Crude Oil Reserve (O&M),Operations & Maintenance of Reserves,"Funds to manage and operate ISPRL strategic storage sites, covering O&M expenses.",https://myschemes.gov.in,None,None,Any,Any,null,"[""PSU"", ""ISPRL"", ""Oil Operations""]",Any,Any,Any,Central,None,No,No,Meant for ISPRL operations staff managing India's crude oil strategic reserves.
Amount Met from Oil Industry Development Fund (OIDF),Oil Industry Development Fund (Utilization),Utilization of OIDF to fund oil industry projects and subsidize eligible programs.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Oil Sector Enterprise"", ""PSU"", ""Govt Agency""]",Any,Any,Any,Central,None,No,No,Applicable to oil sector PSUs or ministries using OIDF for approved projects.
Pradhan Mantri JI-VAN Yojana,Bio-Ethanol & Biofuel Promotion,Promotes 2G ethanol projects using biomass to blend petrol and reduce imports.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Biofuel Plant"", ""Industry"", ""Entrepreneur"", ""Refinery""]",Any,Any,Any,Central,None,No,No,Bio-refineries and industries setting up advanced biofuel units per PM-JI-VAN.
Direct Benefit Transfer - LPG,LPG Subsidy (DBT),LPG subsidy directly credited to consumers' Aadhaar-linked bank accounts for LPG purchases.,https://myschemes.gov.in,18,None,Female,Any,Below ₹1 Lakh,"[""Domestic Consumer""]",No,Any,Any,Central,None,No,No,Aadhaar-linked LPG customers enrolled under DBT; primarily for household use.
LPG Connection to Poor Households,Ujjwala LPG Scheme,Provides free LPG connection to BPL women for clean cooking fuel use.,https://myschemes.gov.in,18,None,Female,Any,"Below ₹27,000","[""Homemaker"", ""Rural Household""]",No,Any,Any,Central,None,No,No,Women above 18 from SECC-listed BPL families without LPG connection.
Other Subsidy Payable including for North Eastern Region,Regional Subsidies & Other Support,Includes additional LPG/kerosene subsidies for NE and remote areas.,https://myschemes.gov.in,None,None,Any,Any,Below ₹1 Lakh,"[""Remote Area Household""]",No,Any,Any,"Assam, Arunachal, NE States, Central",None,No,No,Subsidy available for households or fuel distributors in NE or transport-challenged areas.
Project Management Expenditure,Oil & Gas Project Management,Covers administrative and project management expenses for oil and gas sector investments.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Govt Agency"", ""Oil PSU"", ""Petroleum Project Staff""]",Any,Any,Any,Central,None,No,No,Government/PSUs under Petroleum Ministry managing infrastructure & investment projects.
Transfers to Oil Industry Development Fund (OIDF),Fund Transfer for Oil Industry,Allocates funds to OIDF for future oil and gas development programs and support.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Oil Ministry"", ""Govt Finance""]",Any,Any,Any,Central,None,No,No,Financial transfer to OIDF; applies to government managing ministries/agencies.
Amount Met from Oil Industry Development Fund (OIDF),Fund Utilization for Oil Industry,Uses funds from OIDF for sectoral programs including subsidies and infrastructure.,https://myschemes.gov.in,None,None,Any,Any,null,"[""PSU"", ""Oil Sector Agency""]",Any,Any,Any,Central,None,No,No,Applicable to oil-sector PSUs or implementing agencies utilizing OIDF allocations.
Indradhanush Gas Grid Limited (IGGL) – NE Natural Gas Pipeline Grid,Gas Pipeline Infrastructure,Funds development of a gas pipeline grid in North East India to boost gas access.,https://myschemes.gov.in,None,None,Any,Any,null,"[""IGGL"", ""GAIL"", ""OIL"", ""Gas Developer""]",Any,Any,Any,"Assam, NE States, Central",None,No,No,IGGL consortium and partners implementing NE Hydrocarbon Vision pipeline project.
Numaligarh Refinery Expansion Project,Refinery Expansion Project,Provides capital support to expand the Numaligarh Refinery to meet regional energy needs.,https://myschemes.gov.in,None,None,Any,Any,null,"[""NRL"", ""Refinery Staff"", ""Govt Project Entity""]",Any,Any,Any,"Assam, Central",None,No,No,Numaligarh Refinery Limited (NRL) as the executing agency for the expansion plan.
Scheme for Promotion of Flagging of Merchant Ships in India,Shipping & Maritime Subsidy,Provides subsidies to promote registration and operation of Indian merchant ships under Indian flag.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Shipping Company"", ""Maritime Operator""]",No,Any,Any,Central,None,No,No,Shipping companies registering under Indian flag in accordance with DG Shipping guidelines.
Global Biofuels Alliance,International Cooperation in Biofuels,Supports India’s participation in global partnership to promote sustainable biofuels via international cooperation.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Govt Agency"", ""Biofuel Industry"", ""International Body""]",No,Any,Any,Central,None,No,No,Government agencies and industries engaged in global biofuels alliance activities under India's GBA membership.
Scheme for Providing Financial Support for Collection of Biomass,Biomass Collection Support,"Provides financial incentives for collection, storage, and aggregation of biomass for bioenergy/biofuel projects.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Farmer Producer Org"", ""Biomass Supplier"", ""Bioenergy Developer""]",No,Any,Any,Central,None,No,No,"FPOs, suppliers, and project developers handling biomass logistics and supply chain."
Payment to ISPRL for Purchase of Land,Strategic Oil Storage Land Acquisition,Covers land acquisition cost for crude oil storage infrastructure under ISPRL projects.,https://myschemes.gov.in,None,None,Any,Any,null,"[""ISPRL"", ""Govt Agency""]",No,Any,Any,Central,None,No,No,ISPRL (a PSU) responsible for acquiring land for strategic oil reserve development.
Scheme for Development of Pipeline Infrastructure for Injection of Compressed Bio Gas (CBG) in City Gas Distribution Network,Green Gas Pipeline Infrastructure,Provides financial assistance for pipeline infrastructure to inject Compressed Bio Gas (CBG) into CGD networks.,https://myschemes.gov.in,None,None,Any,Any,null,"[""CGD Company"", ""CBG Producer""]",No,Any,Any,Central,None,No,No,Eligible city gas distributors and bio-CNG producers as per guidelines by MNRE/PNGRB.
Appraisal of Areas in India's Extended Continental Shelf (ECS),Extended Continental Shelf Exploration,"Funds scientific appraisal of oil, gas, and mineral resources in India’s ECS under UNCLOS.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Research Agency"", ""Geoscientific Entity""]",No,Any,Any,Central,Graduate+,No,No,Government research organizations and approved marine geoscience exploration agencies.
Additional Transfer to Reserve Fund,Oil Reserve Fund Transfer,Financial transfer to petroleum strategic reserves to prepare for future energy contingencies.,https://myschemes.gov.in,None,None,Any,Any,null,"[""Ministry of Finance"", ""Petroleum Ministry""]",No,Any,Any,Central,None,No,No,Reserve Fund operations handled by MoF and MoPNG for fiscal and energy security.
Additional Amount Met from Reserve Fund,Oil Reserve Fund Utilization,"Use of strategic reserve funds for petroleum sector subsidies, O&M, or emergency oil procurement.",https://myschemes.gov.in,None,None,Any,Any,null,"[""Petroleum Ministry"", ""Energy Strategist""]",No,Any,Any,Central,None,No,No,Government disbursement mechanism under MoPNG and MoF policies and approvals.
Atal Innovation Mission (AIM) incl. Self Employment and Talent Utilization (SETU),Innovation & Entrepreneurship Promotion,"Promotes innovation via Atal Tinkering Labs, incubation centers, startup support under AIM/SETU.",https://myschemes.gov.in,15,None,Any,Any,null,"[""Startup"", ""MSME"", ""School"", ""Incubator"", ""Academic Institution""]",No,Any,Any,Central,10th Pass,No,No,"Startups, educational institutions, and incubators under NITI Aayog’s AIM/SETU norms."
Ongoing Programme and Schemes,Core Operational Programmes,"Refers to NITI Aayog's regular operational schemes, studies, and institutional projects.",https://myschemes.gov.in,None,None,Any,Any,null,"[""NITI Project Partner"", ""Govt Agency""]",No,Any,Any,Central,None,No,No,Government bodies and NITI-affiliated organizations based on scheme-specific components.
State Support Mission,State Government Capacity Building,Enhances capacity of state and UT governments for better programme planning and execution.,https://myschemes.gov.in,None,None,Any,Any,null,"State Govt Officer, Planning Dept",No,Any,Any,Central,Graduate+,No,No,State/UT departments involved in NITI Aayog's State Support Mission for technical and planning aid.
Aspirational Blocks Programme (ABP),Regional Development & Governance,Focuses on improving governance and service delivery in identified aspirational blocks.,https://myschemes.gov.in,None,None,Any,Any,null,"Block Officer, Local Governance Staff",No,Any,Any,Central,None,No,No,Selected districts/blocks nominated under ABP by NITI Aayog and respective State Governments.
Research and Development (Ports),Ports & Shipping R&D,Supports port modernization and operational R&D projects.,https://myschemes.gov.in,None,None,Any,Any,null,"Port Authority, Research Institute, Logistics Company",No,Any,Any,Central,Graduate+,No,No,"R&D organizations, maritime institutes, and port authorities as per shipping ministry guidelines."
Sagarmala,Port-led Development Programme,"Port-led development via connectivity, logistics, and coastal community projects.",https://myschemes.gov.in,None,None,Any,Any,null,"Port Trust, PSU, Private Developer, Coastal NGO",No,Any,Any,Central,None,No,No,Government bodies and coastal development agencies participating in Sagarmala’s infrastructure projects.
"Assistance to Ship Building, Research and Development",Shipbuilding & Marine R&D Support,Financial and R&D support for modernizing shipbuilding capacity in India.,https://myschemes.gov.in,None,None,Any,Any,null,"Shipyard, Maritime R&D Institute, Shipbuilder",No,Any,Any,Central,Graduate+,No,No,Entities involved in indigenous shipbuilding/repair under Marine Ministry’s R&D enhancement criteria.
Energy Conservation Schemes,Energy Efficiency & Awareness,"Funds NMEEE, energy conservation campaigns, EC standards, and performance awards via BEE.",https://myschemes.gov.in,None,None,Any,Any,null,"State Utility, Generator, Public Body, Industry",No,Any,Any,Central,None,No,No,"Agencies as per EC Act and BEE guidelines including central/state utilities, generators, and large consumers."
Strengthening of Power Systems,Power Infrastructure Development,"Supports power infrastructure in NE states, interest subsidies, smart grids, etc.",https://myschemes.gov.in,None,None,Any,Any,null,"DISCOMs, State Power Dept, Transmission Utility",No,Any,Any,Central,Graduate Preferred,No,No,"Power utilities in NER, Arunachal, Sikkim; entities developing power infra and smart grid projects."
Power System Development Fund,Transmission & Distribution Grants,"Offers grants/subsidies to enhance T&D, and interest support to DISCOMs.",https://myschemes.gov.in,None,None,Any,Any,null,"DISCOM, Power Generator, Grid Operator",No,Any,Any,Central,None,No,No,"Power sector entities accessing PSDF for grid strengthening, both gas and non-gas based."
Reform Linked Distribution Scheme,Distribution Sector Reform Incentive,Incentivizes DISCOMs for adopting reform measures like 24×7 supply and franchise models.,https://myschemes.gov.in,None,None,Any,Any,null,Electricity Distribution Company (DISCOM),No,Any,Any,Central,None,No,No,Eligible DISCOMs committing to reforms and new operational models as outlined by MoP.
