IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
89,Act for benefit of child or insane person by/with guardian consent,"Protects acts done in good faith for the benefit of a child (<12 years) or insane person, with guardian’s consent. But doesn’t extend to acts known to cause death or grievous hurt unless for medical purposes.","No punishment under Sec 89. If harm caused exceeds consent’s scope, punishment as per offence (e.g., grievous hurt under Sec 325: ≤7 years RI + fine).","Not Applicable – If Sec 89 applies, no offence → no bail. If it fails, bail depends on offence charged (Sec 325 is Non‑Bailable).","Not Applicable – No FIR if Sec 89 applies. If it fails, FIR depends on offence’s cognizability (Sec 325 is Cognizable).",General Exception
90,Consent under fear/misconception/insanity/child,"Consent given under fear, misconception, or by a person incapable of understanding consequences (e.g., unsound mind or intoxicated) is not valid in law.","No punishment under Sec 90. If an act was done relying on such consent and harm results, punishment depends on offence (e.g., Sec 375 rape: 10 years RI to life + fine).","Bail depends on offence arising from invalid consent. E.g., Sec 375 (rape) is Non‑Bailable.","Cognizability follows offence arising from invalid consent. E.g., Sec 375 is Cognizable.",General Exception
91,Acts independently offences,Excludes acts which do not cause death or hurt from criminal liability unless they result in injury to a person’s health or comfort.,"No punishment under Sec 91. However, if such an act does result in injury, relevant IPC sections apply (e.g., Sec 323 hurt: ≤1 year RI or fine or both).","Not Applicable – No offence under Sec 91. If an offence arises (e.g., Sec 323), bail depends on that offence (Sec 323 is Bailable).","Not Applicable – No FIR if no injury. If injury arises, cognizability depends on offence (Sec 323 is Cognizable).",General Exception
92,Act for benefit without consent,"Protects acts done in good faith for another’s benefit without their consent if circumstances made it impossible to obtain consent (e.g., emergency surgery), provided it wasn’t done to cause death or grievous hurt unless necessary for medical reasons.","No punishment under Sec 92. If negligence occurs, related sections apply (e.g., Sec 304A – death by negligence: ≤2 years RI or fine or both).","Not Applicable – If Sec 92 applies, no offence → no bail needed. If defence fails and negligence is charged (Sec 304A), it is Bailable.","Not Applicable – No FIR if Sec 92 applies. If not, FIR depends on resulting offence (Sec 304A is Cognizable).",General Exception
93,Communication in good faith,"No offence for a communication made in good faith for another’s benefit even if it causes harm, provided there was no intention to injure (e.g., doctor informing family of terminal illness).","No punishment under Sec 93. If harm arises from malice or recklessness, punishment as per resulting offence (e.g., defamation under Sec 500: ≤2 years imprisonment or fine or both).","Not Applicable – No offence under Sec 93. If malice found and offence arises (e.g., defamation Sec 500), it is Bailable.","Not Applicable – No FIR if Sec 93 applies. If not, cognizability depends on offence (Sec 500 defamation is Non‑Cognizable unless court orders investigation).",General Exception
94,Compulsion by threats,"Excuses acts (except murder and offences against the State punishable with death) committed under threat of instant death and with no reasonable escape (e.g., coerced into committing robbery at gunpoint).","No punishment under Sec 94 for coerced acts. If coercion fails as defence, punishment depends on offence (e.g., robbery Sec 392: 10 years RI + fine).","Not Applicable – If coercion accepted, no offence → no bail. If not, bail depends on offence (e.g., Sec 392 robbery is Non‑Bailable).","Not Applicable – No FIR if coercion defence accepted. If not, FIR follows offence (Sec 392 is Cognizable).",General Exception
95,Slight harm,"Excuses acts causing slight harm, which no reasonable person would complain about (e.g., brushing against someone in a crowd).",No punishment — trivial acts are not offences.,Not Applicable – No offence → no bail required.,Not Applicable – Police cannot register FIR for trivial harm.,General Exception
96,Things done in private defence,"No offence for harm caused while exercising the right of private defence, as long as the action was proportionate and within legal limits.","No punishment if right of private defence is exercised lawfully. If exceeded, punishment depends on resulting offence (e.g., causing grievous hurt Sec 325: ≤7 years RI + fine).","Not Applicable – No bail needed if defence applies. If exceeded and offence charged (e.g., Sec 325), bail depends on offence (Sec 325 is Non‑Bailable).","Not Applicable – No FIR if private defence accepted. If exceeded, FIR and cognizability depend on offence (Sec 325 is Cognizable).",Private Defence
97,Right of private defence of body/property,"Grants every person the right to defend their own or another’s body and property against offences like theft, robbery, mischief, or criminal trespass—subject to limits defined in Sections 99–106.","No punishment for lawful acts of private defence. If exceeded, punishment depends on offence committed (e.g., grievous hurt under Sec 325: ≤7 years RI + fine).","Not Applicable – No bail if defence applies. If exceeded and charged (e.g., Sec 325), bail depends on offence (Sec 325 is Non‑Bailable).","Not Applicable – Police cannot register FIR if defence applies. If exceeded, FIR and cognizability depend on the offence (Sec 325 is Cognizable).",Private Defence
98,Right against act of unsound mind person etc.,"Extends private defence rights to cases where the person causing harm is insane, intoxicated, a child, or otherwise incapable of criminal intent—your right to defend yourself remains valid.","No punishment for lawful defence. If exceeded, punishment per resulting offence (e.g., culpable homicide under Sec 304: up to life imprisonment or fine).","Not Applicable – No bail if defence applies. If exceeded and charged (e.g., Sec 304), bail depends on offence (Sec 304 is Non‑Bailable).","Not Applicable – No FIR if defence justified. If not, FIR depends on offence (Sec 304 is Cognizable).",Private Defence
99,"No right against certain acts, limits to defence","Lists restrictions: No right of private defence against acts done by public servants acting in good faith under color of law (unless fear of death), or when there’s time to seek protection from authorities.","No punishment for recognizing limits of defence. If force used where defence doesn’t apply, punishment per offence (e.g., assault under Sec 352: ≤3 months imprisonment or fine or both).","Not Applicable – If force used improperly, bail depends on offence (Sec 352 is Bailable).","Not Applicable – No FIR if no improper act. If offence charged, FIR and cognizability depend on offence (Sec 352 is Non‑Cognizable).",Private Defence
100,Private defence of body extends to causing death,"Specifies situations where causing death is justified in private defence (e.g., preventing murder, grievous hurt, rape, kidnapping, wrongful confinement where there’s fear of death or grievous hurt).","No punishment if killing was in lawful defence. If exceeded, punishment per offence (e.g., murder under Sec 302: death penalty or life imprisonment + fine).","Not Applicable – No bail if defence justified. If exceeded and murder charged (Sec 302), it is Non‑Bailable.","Not Applicable – No FIR if defence applies. If exceeded, FIR depends on offence (Sec 302 is Cognizable).",Private Defence
101,Right to cause harm other than death,"Allows use of force, except causing death, in private defence of body when threat does not involve risks like murder, grievous hurt, rape, kidnapping, or wrongful confinement leading to fear of death.","No punishment if force is proportionate. If exceeded, punishment depends on offence (e.g., hurt under Sec 323: ≤1 year RI or fine).","Not Applicable – If defence applies, no bail. If exceeded and charged (e.g., Sec 323), it is Bailable.","Not Applicable – No FIR if defence justified. If exceeded, FIR depends on offence (Sec 323 is Cognizable).",Private Defence
102,Commencement/continuance of defence of body,"The right of private defence begins when there is a reasonable apprehension of danger to body and continues until the threat ceases (e.g., attacker flees or is incapacitated).","No punishment if force within limits. If exceeded, punishment depends on offence (e.g., grievous hurt Sec 325: ≤7 years RI + fine).","Not Applicable – If defence applies, no bail. If exceeded, bail depends on offence (Sec 325 is Non‑Bailable).","Not Applicable – No FIR if defence justified. If exceeded, FIR depends on offence (Sec 325 is Cognizable).",Private Defence
103,Private defence of property extends to causing death,"Justifies causing death while defending property in cases of robbery, housebreaking at night, mischief by fire in dwelling or property, or theft/robbery leading to death/grievous hurt.","No punishment if defence applies. If exceeded, punishment per offence (e.g., murder Sec 302: death or life imprisonment + fine).","Not Applicable – If defence applies, no bail. If exceeded and murder charged (Sec 302), it is Non‑Bailable.","Not Applicable – No FIR if defence applies. If exceeded, FIR depends on offence (Sec 302 is Cognizable).",Private Defence
104,Right to cause harm other than death in defence of property,"Allows use of force, except causing death, to defend property in cases of theft, mischief, or criminal trespass not amounting to robbery or housebreaking.","No punishment if force proportionate. If exceeded, punishment depends on offence (e.g., hurt Sec 323: ≤1 year RI or fine).","Not Applicable – No bail if defence applies. If exceeded, bail depends on offence (Sec 323 is Bailable).","Not Applicable – No FIR if defence justified. If exceeded, FIR depends on offence (Sec 323 is Cognizable).",Private Defence
105,Commencement/continuance of defence of property,"Private defence of property begins when there is reasonable apprehension of danger (e.g., burglary) and continues until theft, robbery, mischief, or criminal trespass ends or assistance from authorities is obtained.","No punishment if force within limits. If exceeded, punishment depends on offence (e.g., grievous hurt Sec 325: ≤7 years RI + fine).","Not Applicable – If defence applies, no bail. If exceeded, bail depends on offence (Sec 325 is Non‑Bailable).","Not Applicable – No FIR if defence justified. If exceeded, FIR depends on offence (Sec 325 is Cognizable).",Private Defence
106,Right against deadly assault with risk to innocent,"Even if defending yourself puts an innocent person at risk (e.g., firing a gun at an attacker and hitting a bystander), you’re not criminally liable as long as action was in good faith and to save your own life.","No punishment if defence applies. If exceeded, punishment depends on offence (e.g., culpable homicide Sec 304: life imprisonment or ≤10 years RI + fine).","Not Applicable – No bail if defence applies. If exceeded, bail depends on offence (Sec 304 is Non‑Bailable)","Not Applicable – No FIR if defence justified. If exceeded, FIR depends on offence (Sec 304 is Cognizable).",Private Defence
107,Abetment of a thing,"Instigating, engaging in conspiracy, or intentionally aiding a person to commit an offence","Punishment same as for the offence abetted. E.g., abetment of murder (Sec 302): death or life imprisonment.","Bail depends on abetted offence: e.g., abetment of murder (Sec 302) is Non‑Bailable; abetment of theft (Sec 379) is Bailable.","Cognizability depends on abetted offence: e.g., Sec 302 is Cognizable, Sec 379 is Cognizable.",Abetment
108,Abettor,"Defines an abettor as a person involved in abetment (instigating, conspiring, aiding) regardless of whether the principal offender is convicted.","The abettor is punished in the same manner as if they had committed the offence themselves, unless there is a specific provision for abetment. For example, if someone abets murder, they are liable for death or life imprisonment and fine. If they abet theft, they may face up to three years imprisonment and fine or both.","The bailability depends on the offence abetted. Abetment of murder under Section 302 is non‑bailable, whereas abetment of theft under Section 379 is bailable.","The cognizability depends on the offence abetted. Abetment of murder is cognizable, and abetment of theft is also cognizable.",Definition
108A,Abetment in India of offences outside India,"If a person in India abets an offence committed outside India, which would be punishable under Indian law had it been committed in India, they are liable to the same punishment as if the offence occurred in India.","The punishment is the same as if the offence was committed in India. For instance, abetment of murder abroad is punishable by death or life imprisonment with fine, and abetment of cheating abroad may result in up to seven years imprisonment with fine.","The bailability depends on the offence abetted. Abetment of murder under Section 302 is non‑bailable, while abetment of cheating under Section 420 is bailable.","The cognizability depends on the offence abetted. Abetment of murder is cognizable, and abetment of cheating is also cognizable.",Abetment
109,Punishment if act abetted is committed and no separate provision exists,"When an act is abetted and committed as a result, and there is no separate provision for abetment, the abettor is punished in the same manner as if they had committed the act themselves.","The punishment is the same as that for the offence abetted. For example, abetment of murder is punishable by death or life imprisonment with fine. Abetment of theft carries up to three years imprisonment and fine or both.","The bailability depends on the offence abetted. Abetment of murder is non‑bailable, while abetment of theft is bailable.","The cognizability depends on the offence abetted. Abetment of murder is cognizable, and abetment of theft is also cognizable.",Abetment
110,Abetment when abetted person acts with different intention,"An abettor is punishable even if the person abetted is exempt from criminal liability due to infancy, insanity, intoxication, or any other legal incapacity.","The abettor is punished in the same way as if they had committed the offence themselves. For example, encouraging a child under seven years of age to steal makes the abettor liable for punishment for theft under Section 379.","The bailability depends on the offence abetted. For example, abetment of theft is bailable, while abetment of murder is non‑bailable.","The cognizability depends on the offence abetted. For example, abetment of theft is cognizable, and abetment of murder is cognizable.",Abetment
111,Liability when different act done than abetted,"If a different act from what was intended is committed as a result of abetment, the abettor is liable for that act provided it was probable as a result of their instigation.","The abettor receives punishment for the offence that actually occurred. For instance, if abetting assault leads to grievous hurt, the punishment may be up to seven years imprisonment and fine under Section 325.","The bailability depends on the offence actually committed. For grievous hurt under Section 325, it is non‑bailable.",The cognizability depends on the offence actually committed. Grievous hurt under Section 325 is cognizable.,Abetment
112,Cumulative punishment for act abetted and act done,"An abettor is liable for all effects of the act abetted, even if those effects exceeded what was intended, provided they are a probable consequence of the abetment.","The abettor receives punishment for the aggravated offence resulting from their instigation. For example, abetting an assault that results in death could lead to charges of culpable homicide punishable under Section 304 with life imprisonment or up to ten years imprisonment and fine.",The bailability depends on the aggravated offence. Culpable homicide under Section 304 is non‑bailable.,The cognizability depends on the aggravated offence. Culpable homicide under Section 304 is cognizable.,Abetment
113,Liability for unintended consequence,"If the principal act is committed with a different intention or knowledge than what the abettor had, the abettor is still liable for the act provided it was a probable consequence of their abetment.","The punishment is the same as for the offence committed. For example, abetting theft that results in grievous hurt makes the abettor liable for grievous hurt under Section 325 with up to seven years imprisonment and fine.",The bailability depends on the offence committed. Grievous hurt under Section 325 is non‑bailable.,The cognizability depends on the offence committed. Grievous hurt under Section 325 is cognizable.,Abetment
114,Abettor present when offence committed,"If an abettor is present when the offence is committed, they are treated as if they committed the offence themselves.","The abettor is punished as the principal offender. For example, an abettor present at the scene of murder faces punishment under Section 302 with death or life imprisonment and fine.","The bailability depends on the offence committed. For murder under Section 302, it is non‑bailable.","The cognizability depends on the offence committed. For murder under Section 302, it is cognizable.",Abetment
115,"Abetment of offence punishable with death/life imprisonment, if not committed","Up to 7 years + fine; if act causes harm, up to 14 years + fine",7 or 14 years + fine,Non-Bailable,Cognizable,Abetment
116,"Abetment of offence punishable with imprisonment, if not committed",One-fourth of max term for offence + fine; higher if abettor is public servant,"Punishable with imprisonment for a term which may extend to one‑seventh of the longest term provided for that offence, or with the fine provided for the offence, or with both. For example, abetting an offence punishable with 7 years imprisonment can lead to up to 1 year imprisonment.",Bailable,Cognizable,Abetment
117,Abetting offence by public or >10 persons,Up to 3 years + fine,3 years + fine,Bailable,Cognizable,Abetment
118,Concealing design to commit offence punishable with death/life imprisonment,Up to 7 years + fine if offence committed; 3 years + fine if not,3 or 7 years + fine,Non-Bailable,Cognizable,Concealment
119,Public servant concealing design of offence it’s his duty to prevent,"If offence committed: 7 years (if punishable with death/life), else 1/2 of offender’s term; if not committed: 1/4 + fine","If the offence is committed, the public servant is punished with imprisonment of the description provided for the offence, for a term which may extend to one‑half of the longest term provided for that offence, or with fine, or both.If the offence is not committed, punishment may extend to one‑fourth of the longest term provided for that offence, or with fine, or both.",Non-Bailable,Cognizable,Concealment
120,Concealing design to commit offence punishable with imprisonment,If offence committed: 1/4 of punishment; if not: fine or up to 1/8 of punishment,"Punishable with imprisonment of the description provided for the offence for a term which may extend to one‑fourth of the longest term provided for that offence, or with fine, or both. For example, concealing plans for an offence punishable by 8 years imprisonment could result in up to 2 years imprisonment or fine or both.",Bailable,Non-Cognizable,Concealment
120A,Definition of criminal conspiracy,When two or more persons agree to do an illegal act or a legal act by illegal means. Mere agreement is sufficient to constitute conspiracy for illegal acts.,Not Applicable (Definition only),Not Applicable,Not Applicable,Criminal Conspiracy
120B,Punishment of criminal conspiracy,"- If the conspiracy is to commit an offence punishable with death, life imprisonment or rigorous imprisonment ≥ 2 years: same as for the offence. - In other cases: up to 6 months + fine or both.",Same as abetted offence or up to 6 months + fine,Serious: Non-Bailable; Minor: Bailable,Serious: Cognizable; Minor: Non-Cognizable,Criminal Conspiracy
121,Waging war against the Government of India,"Waging, attempting to wage, or abetting war against India",Death or life imprisonment + fine,Non-Bailable,Cognizable,Offences Against the State
121A,Conspiracy to commit offences punishable by Section 121,Conspiring to wage war or overawe the government by criminal force,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
122,Collecting arms with intent to wage war,"Collecting men, arms, or ammunition to wage war",Life imprisonment or 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
123,Concealing design to wage war,Intent to facilitate war against India by concealment,Up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
124,Assaulting President or Governor to compel/restrain lawful power,Using force to influence or restrict constitutional authority,Up to 7 years + fine,Non-Bailable,Cognizable,Offences Against the State
124A,Sedition,"Bringing or attempting to bring hatred, contempt, or disaffection toward the government by words, signs, or writing",Life imprisonment + fine or 3 years + fine or fine,Non-Bailable,Cognizable,Offences Against the State
125,Waging war against an Asiatic power allied with India,Similar to Section 121 but against foreign ally,Life imprisonment or 7 years + fine,Non-Bailable,Cognizable,Offences Against the State
126,Depredation on territories at peace with India,Robbery/violence in territories of friendly powers,Up to 7 years + fine + forfeiture,Non-Bailable,Cognizable,Offences Against the State
127,Receiving property taken during such war/depredation,Knowingly receiving property captured in acts under 125 or 126,Up to 7 years + fine + forfeiture,Non-Bailable,Cognizable,Offences Against the State
128,Public servant voluntarily allowing prisoner of war/state to escape,Intentional act by public servant,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
129,Public servant negligently allowing escape,Negligence in duty leading to escape,Up to 2 years + fine,Bailable,Cognizable,Offences Against the State
130,"Aiding escape, rescuing or harbouring prisoner of war/state",Knowingly helping escape or concealing such persons,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences Against the State
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","Inciting or trying to persuade a soldier, sailor, or airman to revolt or disobey duty","Life imprisonment or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
132,"Abetment of mutiny, if mutiny is committed in consequence",Abetting mutiny which actually occurs due to such abetment,"Death or life imprisonment, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
133,"Abetment of assault by soldier, sailor or airman on his superior officer when in execution of his office",Aiding or instigating a soldier/sailor/airman to assault their superior officer,"Imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
134,"Abetment of such assault, if the assault is committed",If the assault mentioned in Section 133 is actually committed,Same as Section 133: Up to 10 years and fine,Non-Bailable,Cognizable,"Offences relating to the Army, Navy and Air Force"
135,"Abetment of desertion of soldier, sailor or airman",Helping or encouraging military personnel to desert service,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
136,Harbouring deserter,Knowingly sheltering a deserter from the armed forces,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
137,Deserter concealed on board merchant vessel through negligence of master,Ship master negligently concealing a deserter,Fine up to ₹500,Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
138,"Abetment of act of insubordination by soldier, sailor or airman",Instigating or helping military personnel to disobey superiors,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
139,Persons subject to certain Acts,Clarifies IPC application to persons governed by military/naval laws,No direct punishment under IPC. Covered offences are dealt with under respective military discipline laws; civil courts have no jurisdiction here.,"Not applicable—this section does not define an offence. If a person interferes in any military process (e.g., obstructs a military search), their act would be criminal under another provision, and bailability would depend on that offence.","Not applicable—No FIR under IPC for actions covered by this section. Any prosecution would arise under military law, not civilian criminal procedure.","Offences relating to the Army, Navy and Air Force"
140,"Wearing garb or carrying token used by soldier, sailor or airman",Unauthorized use of military uniforms or marks,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,"Offences relating to the Army, Navy and Air Force"
141,Unlawful assembly,"An assembly of five or more persons with a common intent to commit an offence, resist law enforcement, or commit criminal trespass.","Imprisonment of up to 6 months, or fine, or both.",Bailable — This is a minor offence. Bail is typically granted upon arrest in good faith.,Cognizable — Police can register an FIR and arrest without warrant.,Offences Against Public Tranquillity
142,Being member of unlawful assembly,Joining or continuing in unlawful assembly,"Imprisonment of up to 2 years, or fine, or both.","Bailable — Bail is generally granted, though court considers risk factors.",Cognizable — FIR can be registered and arrest without warrant is permissible.,Offences Against Public Tranquillity
143,Punishment for unlawful assembly,Being a member of unlawful assembly,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
144,Joining unlawful assembly armed with deadly weapon,Participating with a deadly weapon,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
145,"Joining or continuing in unlawful assembly, knowing it is ordered to disperse",Defying lawful command to disperse,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
146,Rioting,When an unlawful assembly uses force or violence in pursuit of their common objective.,"Imprisonment of up to 2 years, or fine, or both. If committed while armed with deadly weapon, up to 3 years, or fine, or both.","Bailable — As a non-serious violent offence, bail is typically granted unless aggravating factors exist (e.g., weapons used, prior record).",Cognizable — Arrest without warrant permitted and FIR can be filed by police.,Offences Against Public Tranquillity
147,Punishment for rioting,Participation in rioting,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
148,Rioting armed with deadly weapon,Participation in rioting with weapon,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
149,Offence by member of unlawful assembly,Member held guilty of offence committed by assembly in pursuit of common object,"The punishment depends on the offence committed in prosecution of the common object. For example, if the assembly commits murder (Section 302), every member can face death or life imprisonment and fine. If grievous hurt (Section 325), up to 7 years imprisonment and fine.","The cognizability depends on the offence committed:If the offence is murder, Cognizable.If grievous hurt, Cognizable.If theft, Cognizable.",Depends on offence,Offences Against Public Tranquillity
150,Hiring persons for unlawful assembly,Hiring/encouraging people to join unlawful assembly,Same as for member of unlawful assembly,Bailable,Cognizable,Offences Against Public Tranquillity
151,Knowingly joining assembly commanded to disperse,Continuing after command to disperse,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
152,Assaulting public servant suppressing riot,Obstructing public servant during riot control,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
153,Wantonly giving provocation to cause riot,Provoking with intent to riot,If riot committed: 1 year or fine or both; if not: 6 months or fine or both,Bailable,Non-Cognizable,Offences Against Public Tranquillity
153A,Promoting enmity between groups,"On religion, caste, language, etc.","Up to 3 years or 5 years (if in place of worship), and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
153AA,Carrying arms in procession or mass training,Arms in processions/drills,"Imprisonment up to 3 years, and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
153B,Imputations against national integration,Speech or writing prejudicial to integration,"Up to 3 years or 5 years, and fine",Non-Bailable,Cognizable,Offences Against Public Tranquillity
154,Owner of land where unlawful assembly held,Landowner’s liability for unlawful gathering,"Punishable with a fine which may extend to ₹1,000. There is no imprisonment prescribed.",Bailable,Cognizable,Offences Against Public Tranquillity
155,Beneficiary of riot,If riot is committed for another’s benefit,"Punishable with a fine which may extend to ₹1,000. No imprisonment is specified.",Bailable,Cognizable,Offences Against Public Tranquillity
156,Agent of beneficiary of riot,Agent responsible for facilitating riot,Same punishment as rioter,Bailable,Cognizable,Offences Against Public Tranquillity
157,Harbouring persons hired for unlawful assembly,Providing shelter to hired rioters,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Offences Against Public Tranquillity
158,Being hired to take part in unlawful assembly or riot or to go armed,Accepting hire to riot or bear arms,"Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences Against Public Tranquillity
159,Affray,Fighting in public causing disturbance,"Punishable under Section 160 (since 159 defines affray but does not prescribe punishment itself):Imprisonment up to 1 month, or fine up to ₹100, or both.","Bailable – As it involves a minor offence with a short imprisonment term or fine, bail is routinely granted.",Non-Cognizable – Police cannot register an FIR or arrest without the prior approval of a magistrate since it is a petty offence.,Offences Against Public Tranquillity
160,Punishment for affray,Engaging in affray,"Imprisonment up to 1 month, or fine up to ₹100, or both",Bailable,Non-Cognizable,Offences Against Public Tranquillity
166,"Public servant disobeying law, with intent to cause injury",Knowingly disobeying legal obligation to cause injury,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
166A,Public servant disobeying direction under law,"Especially in investigation of offences against women (e.g., rape, etc.)","Rigorous imprisonment 6 months to 2 years, and fine",Non-Bailable,Cognizable,Of Offences by or Relating to Public Servants
166B,Punishment for non-treatment of victim,Hospital personnel not providing free medical treatment to rape or acid attack victim,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Of Offences by or Relating to Public Servants
167,Public servant framing incorrect document with intent to cause injury,Willfully framing wrong record or writing,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
168,Public servant unlawfully engaging in trade,Public servant involved in trade while in service,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
169,Public servant unlawfully buying or bidding for property,Bidding/purchasing property without authority,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
170,Personating a public servant,Pretending to be a public servant to gain advantage,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Of Offences by or Relating to Public Servants
171,Wearing garb or carrying token used by public servant with fraudulent intent,Fraudulent imitation of appearance of public servant,"Imprisonment up to 3 months, or fine up to ₹500, or both",Bailable,Non-Cognizable,Of Offences by or Relating to Public Servants
171A,"“Candidate”, “Electoral right” defined",Defines the terms: candidate and electoral right,"Not an offence; purely definitional. No punishment, bail, or FIR implications.","Not applicable—these are definitions, not offences.",Not applicable—definitions; no cognizable offence.,Offences Relating to Elections
171B,Bribery,Giving or accepting gratification to influence election results,"Imprisonment up to 1 year, or fine, or both. Treating (offering food/drink) is only punishable by fine. As per 2003 amendments, imprisonment may extend to 2 years.","Bailable — Non-heinous, so bail is normally granted once charge is framed, unless aggravating factors are present.",Cognizable — Police can register FIR and arrest without warrant.,Offences Relating to Elections
171C,Undue influence at elections,Interference with free exercise of electoral rights,"Imprisonment up to 1 year, or fine, or both. Using force may result in imprisonment up to 3 years.",Bailable — Considered a mid-level offence; bail is generally granted unless exacerbating circumstances exist.,Cognizable — Police can register FIR and arrest without warrant for tackling electoral malpractice.,Offences Relating to Elections
171D,Personation at elections,Voting or attempting to vote in another's name,"Imprisonment up to 1 year, or fine, or both (per section 171F). The 2003 amendment added imprisonment for up to 2 years.","Cognizable — FIR may be registered, and arrests can be made without warrant to prevent fraud at polls.",Not Specified,Offences Relating to Elections
171E,Punishment for bribery,Bribery at elections,"Imprisonment up to 1 year, or fine, or both; if treating (food/drinks), then fine only",Bailable,Non-Cognizable,Offences Relating to Elections
171F,Punishment for undue influence or personation,Committing undue influence or impersonation during elections,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences Relating to Elections
171G,False statement in connection with an election,Publishing false statements about a candidate’s character,Fine only,Bailable,Non-Cognizable,Offences Relating to Elections
171H,Illegal payments in connection with an election,Unauthorized election expenses without candidate’s permission,Fine up to ₹500,Bailable,Non-Cognizable,Offences Relating to Elections
171-I,Failure to keep election accounts,Not maintaining required record of election expenses,Fine up to ₹500,Bailable,Non-Cognizable,Offences Relating to Elections
172,Absconding to avoid service of summons,Intentionally avoiding summons or legal process,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
173,Preventing service or publication,Obstructing lawful delivery of summons or public notice,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
174,Non-attendance in obedience to order,Failure to attend as required by legal summons,"Imprisonment up to 1 month (6 months if in criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
174A,Non-appearance under CrPC §82,Failure to appear as declared a proclaimed offender,"Imprisonment up to 3 years, and fine (7 years if declared offender)",Non-Bailable,Cognizable,Contempts of the Lawful Authority
175,Omission to produce document,Refusing to produce documents legally bound to produce,"Imprisonment up to 1 month (6 months if criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
176,Omission to give notice/info,Failure to give legally required information,"Imprisonment up to 1 month (6 months if criminal case), or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
177,Furnishing false information,Giving false information to public servant,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
178,Refusing oath or affirmation,Refusing to take oath when legally required,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
179,Refusing to answer questions,Refusal to answer when bound to state the truth,"Imprisonment up to 6 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
180,Refusing to sign statement,Legally required signature refused,"Imprisonment up to 3 months, or fine, or both",Bailable,Non-Cognizable,Contempts of the Lawful Authority
181,False statement on oath,Making a false statement under oath to public servant,"Imprisonment up to 3 years, and fine",Bailable,Non-Cognizable,Contempts of the Lawful Authority
