BNS Section,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
164,"If someone knowingly hides a soldier, sailor, or airman who has deserted, they are liable under this clause.","Punishable with up to 2 years imprisonment and fine, since harbouring allows the deserter to evade justice and disrupts military accountability.",Bailable as the offence does not involve direct participation in desertion but still obstructs justice.,Cognizable because early discovery of the deserter is necessary; harbouring may lead to more evasion or similar acts.,Offences Relating to Armed Forces
165,Holds ship captains accountable if a deserter boards their ship and they fail to report due to negligence.,"Punishable with fine, as this clause focuses on civil liability due to carelessness rather than criminal intention.","Bailable since the act arises from omission, not deliberate criminal aid, and bail is typically granted.",Non-cognizable because police action is initiated only after complaint or report; no immediate threat to public safety.,Offences Relating to Armed Forces
166,This clause penalizes civilians or others who encourage military members to disobey lawful orders of their superiors.,"Punishable with imprisonment up to 2 years and fine, as it endangers the chain of command in the defence system.",Bailable due to lower severity unless the insubordination leads to larger offence like mutiny or assault.,Cognizable since disrespect to authority can escalate into larger indiscipline; prompt action prevents loss of control.,Offences Relating to Armed Forces
167,"This clause ensures that those subject to military, naval or air force laws (such as under the Army/Navy/Air Force Act) are dealt with under special codes and not general penal law.",Not independently punishable under BNS; refers jurisdiction to special military law frameworks.,Bailability does not apply directly under BNS; governed by relevant military disciplinary code.,Cognizability also depends on military law; civil police typically hand over jurisdiction to defence authorities.,Jurisdiction Clause / Military Law
168,It is an offence to impersonate a member of the armed forces by wearing their uniform or insignia without permission.,"Punishable with imprisonment up to 3 months or fine or both, as it can be used to deceive or gain unauthorized access.","Bailable because the offence is minor and often associated with mischief, though serious if intent to impersonate is proven.",Non-cognizable as the offence generally does not pose immediate public threat unless linked with other crimes.,Military Impersonation / Public Order
169,"This section provides definitions of key terms such as “candidate” and “electoral right,” which serve as the foundation for interpreting subsequent offences.","Not punishable, as this is a definitional section that sets legal context, not a penal provision.","Not applicable, as there is no offence in this clause; it only aids interpretation of election-related offences.","Not applicable, as there is no complaint or criminal action arising directly from this section.",Election Law (Definitional)
170,Offering or accepting any gratification to induce someone to vote or refrain from voting is considered bribery under this clause.,"Punishable with imprisonment up to 1 year, or fine, or both. In the case of treating (giving food/drinks), only fine is imposed.","Bailable, as bribery in elections is a non-violent offence and courts generally allow bail for first-time political offenders.","Non-cognizable, because such matters usually require inquiry, evidence from Election Commission, and are not threats to immediate public safety.",Electoral Offences
171,"Intimidating, threatening, or using spiritual or social pressure to influence a voter's choice is considered undue influence.","Punishable with imprisonment up to 1 year, or fine, or both due to the impact on democratic integrity.",Bailable since offences under this clause are non-violent and often settled through investigation and fines.,Non-cognizable as police intervention is only initiated after preliminary inquiry or direction from election authorities.,Electoral Offences
172,Impersonating another voter or voting more than once is treated as a serious electoral fraud under this clause.,"Punishable with imprisonment up to 1 year, or fine, or both, because it directly corrupts the election process.","Bailable due to the possibility of mistaken identity in some cases, though courts scrutinize repeat offenders.",Non-cognizable because these cases are usually handled by the election machinery and require verification before FIR.,Electoral Offences
173,"Expands on Clause 170 by listing different types of bribery and classifying punishments accordingly, including where treating is involved.","Punishable with imprisonment up to 1 year, or fine, or both, aligning with the severity of the act.",Bailable because most election bribery offences are considered administrative misconduct unless accompanied by violence or coercion.,Non-cognizable as they require a complaint or report from election authorities to initiate proceedings.,Electoral Offences
174,"Combines penalties for both undue influence (Clause 171) and personation (Clause 172), reinforcing electoral transparency.","Punishable with imprisonment up to 1 year, or fine, or both, depending on the method and impact of influence or impersonation.","Bailable since offences often involve individual voter misconduct or party-level malpractices, not public threats.",Non-cognizable due to the need for verification and recommendation by an electoral officer before police action.,Electoral Offences
175,Making a knowingly false statement about a candidate’s personal character or conduct to influence election results is penalized under this clause.,"Punishable with imprisonment up to 6 months, or fine, or both, considering the reputational damage caused.","Bailable because it is a speech-related, non-violent offence and subject to the test of intent and truth.","Non-cognizable since it relates to defamation-style allegations, and requires judicial or EC inquiry before FIR.",Electoral Offences
176,Spending or giving money for election purposes without following legal limits or procedures is criminalized.,"Punishable with fine up to ₹10,000 or imprisonment up to 3 months in some cases, emphasizing campaign finance control.","Bailable since it is an economic regulatory offence, and usually resolved with penalties or disqualification proceedings.",Non-cognizable as these are treated as administrative or regulatory violations unless linked to larger corruption schemes.,Electoral Offences
177,"If a candidate fails to maintain proper election expenditure records as required by law, they are liable under this clause.","Punishable with fine up to ₹5,000, ensuring transparency in political financing without resorting to harsh imprisonment.","Bailable because it is a compliance failure, not a malicious act; bail is generally granted unless repeated.",Non-cognizable because police intervention is based on reports by election officers and not direct complaints.,Electoral Offences
178,"Counterfeiting or participating in the process of counterfeiting any coin, Government revenue stamp, currency-note, or bank-note. Includes altering genuine coins/stamps to appear as others of different denominations.","Imprisonment for life, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
179,"Using, selling, buying, importing/exporting, or trafficking in counterfeit coins, Government stamps, currency-notes, or bank-notes with knowledge or reason to believe they are counterfeit.","Imprisonment for life, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
180,"Possessing forged or counterfeit coin, stamp, currency-note, or bank-note with intent to use as genuine or cause it to be used as genuine, knowing or believing it to be counterfeit. Exception if obtained lawfully.","Imprisonment up to 7 years, or fine, or both",Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
181,"Making, repairing, buying, selling, or possessing machinery, dies, tools, or materials for use in forging or counterfeiting coins, Government stamps, currency-notes, or bank-notes.","Imprisonment for life, or imprisonment up to 10 years, and fine",Non-Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
182,Making or using any document that resembles a currency-note or bank-note in a deceptive manner. Also penalizes refusal to disclose information about the source of such documents.,Fine up to ₹300; refusal to disclose info punishable with fine up to ₹600,Bailable,Non-Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
183,"Fraudulently removing or erasing writing from a government-stamped document, or reusing stamps for a different document to cause loss to the Government.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
184,"Using a Government revenue stamp known to have been previously used, with fraudulent intent or intent to cause loss to the Government.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
185,"Erasing or removing usage marks from a Government stamp to reuse it, or possessing/selling such stamps knowing they have been used or altered.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
186,"Making, possessing, selling, or using any fictitious postage stamp or instruments for making such stamps. Punishable also for refusal to disclose source. “Fictitious stamp” refers to imitation of official postage stamps.",Fine up to ₹200,Bailable,Non-Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
187,Mint employee acts or omits duties with the intent to alter the weight or composition of coins from the legal standard.,"Imprisonment up to 7 years, and fine",Non-Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
188,"Taking any coining tool or instrument out of a mint lawfully established in India, without lawful authority.","Imprisonment up to 7 years, and fine",Non-Bailable,Cognizable,"Offences relating to coin, currency-notes, bank-notes, and government stamps"
189(2),"Joining or continuing in an unlawful assembly, knowing the facts that make it unlawful.","Up to 6 months imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(3),Joining or remaining in unlawful assembly after lawful command to disperse.,"Up to 2 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(4),Being armed with a deadly weapon while being a member of an unlawful assembly.,"Up to 2 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(5),"Knowingly joining an assembly likely to disturb public peace, after lawful dispersal command.","Up to 6 months imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(6),"Hiring, engaging, promoting or conniving at engaging someone to join an unlawful assembly.",Same punishment as the hired member and for offences committed by them,Non-Bailable,Cognizable,Offences against public tranquility
189(7),Harboring or assembling persons known to be hired/engaged for unlawful assembly.,"Up to 6 months imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(8),Being hired or attempting to be hired or engaged to assist in unlawful assembly acts.,"Up to 6 months imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
189(9),If such a hired/engaged person goes armed or offers to go armed with a deadly weapon.,"Up to 2 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against public tranquility
190,"If any offence is committed by a member of an unlawful assembly in prosecution of its common object (or one the members knew was likely), all members present at the time are held guilty of that offence, regardless of individual involvement.",Same as punishment for the actual offence committed,Depends on the offence,Depends on the offence,Offences against public tranquility
191(2),Being a member of a rioting unlawful assembly.,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences against public tranquility
191(3),Committing rioting while armed with a deadly weapon or anything likely to cause death.,"Imprisonment up to 5 years, or fine, or both",Non-Bailable,Cognizable,Offences against public tranquility
192,"Giving illegal provocation intending or knowing it's likely to cause rioting. If rioting results, higher punishment applies; if not, lesser punishment applies.","If riot is committed: Imprisonment up to 1 year, or fine, or both; If not committed: Imprisonment up to 6 months, or fine, or both",Bailable,Cognizable,Offences against public tranquility
193(1),"Owner/occupier/person with interest in land where riot or unlawful assembly occurs is liable if, knowing or having reason to believe it's likely, they fail to report, prevent, or suppress it using all lawful means.",Fine up to ₹1000,Bailable,Non-Cognizable,Offences against public tranquility
193(2),"If riot is committed for the benefit of landowner/occupier/claimant, and they fail to prevent or suppress it despite knowing it was likely, they are punishable.",Fine (no specific limit mentioned),Bailable,Non-Cognizable,Offences against public tranquility
193(3),Agent or manager of such person (in 193(2)) is liable for fine if they fail to act despite knowing the riot/unlawful assembly was likely.,Fine (no specific limit mentioned),Bailable,Non-Cognizable,Offences against public tranquility
194(1),"When two or more persons fight in a public place and disturb the public peace, they are said to commit an affray.",— (definition only),—,—,Offences against public tranquility
194(2),"Committing affray in a public place, thereby disturbing public peace.","Imprisonment up to 1 month, or fine up to ₹1000, or both",Bailable,Non-Cognizable,Offences against public tranquility
195(1),"Assaulting, obstructing, or using criminal force against a public servant while they attempt to disperse an unlawful assembly, or suppress a riot or affray.","Imprisonment up to 3 years, or fine (min ₹25,000), or both",Non-Bailable,Cognizable,Offences against public tranquility
195(2),"Threatening to assault or obstruct, or attempting to use criminal force on a public servant while they try to suppress a riot, affray, or disperse an unlawful assembly.","Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences against public tranquility
196(1),"Promoting or attempting to promote enmity, hatred, or ill-will between groups based on religion, race, place of birth, residence, language, caste, etc., through words, signs, electronic means, or organizing/participating in violent group activities causing fear or insecurity among such groups.","Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences against public tranquility
196(2),If the above offence is committed in a place of worship or during a religious ceremony/assembly.,Imprisonment up to 5 years and fine,Non-Bailable,Cognizable,Offences against public tranquility
197(1),"Making/publishing statements or assertions that question loyalty to the Constitution or rights of citizens based on religion, race, region, language, caste, etc., or that promote enmity, hatred, or falsehood that jeopardizes India’s sovereignty, unity, integrity, or security.","Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences against public tranquility
197(2),If the above offence is committed in a place of worship or during religious worship or ceremonies.,Imprisonment up to 5 years and fine,Non-Bailable,Cognizable,Offences against public tranquility
198,Public servant knowingly disobeys legal direction with intent or knowledge that it will likely cause injury to someone.,"Simple imprisonment up to 1 year, or fine, or both",Bailable,Non-Cognizable,Offences by or relating to public servants
199,Public servant knowingly disobeys directions of law regarding investigation or fails to record FIR in specified cognizable offences.,"Rigorous imprisonment not less than 6 months, up to 2 years, and fine",Non-Bailable,Cognizable,Offences by or relating to public servants
200,Person in charge of hospital (public/private) contravenes Section 397 of BNSS (fails to provide mandatory treatment to a victim).,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences by or relating to public servants
201,"A public servant, while preparing or translating a document or electronic record, knowingly makes it incorrect with intent or knowledge that it could cause injury.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,Offences by or relating to public servants
202,A public servant engages in trade despite being legally prohibited from doing so.,"Simple imprisonment up to 1 year, or fine, or both, or community service",Bailable,Non-Cognizable,Offences by or relating to public servants
203,A public servant purchases or bids for property which he is legally prohibited from dealing in; includes purchasing in own or others’ name or jointly.,"Simple imprisonment up to 2 years, or fine, or both; purchased property shall be confiscated",Bailable,Non-Cognizable,Offences by or relating to public servants
204,"Pretending to hold a public office or impersonating someone who does, and doing or attempting to do any act under that assumed authority.","Imprisonment (minimum 6 months, up to 3 years) and fine",Non-Bailable,Cognizable,Offences by or relating to public servants
205,Wearing a uniform or carrying a token resembling that of a public servant with the intent or knowledge that it may be believed he is one.,"Imprisonment up to 3 months, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Offences by or relating to public servants
206(a),Absconding to avoid being served with summons/notice/order from a lawful public servant.,"Simple imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
206(b),Absconding when the notice/summons/order is to attend court or produce a document/record.,"Simple imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
207(a),"Prevents lawful service, affixation, removal, or publication of summons/notice/order/proclamation by a public servant.","Simple imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
207(b),If the prevented document is a court-related summon/order to attend or produce documents.,"Simple imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
208(a),Intentionally failing to attend or leaving early when legally bound to appear in response to summons/notice/order by a competent public servant.,"Simple imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
208(b),"Same as above, when appearance is required before a Court.","Simple imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
209,"Failing to appear in response to a proclamation under Section 84(1) BNSS. If declared a proclaimed offender under Section 84(4), harsher punishment applies.","Up to 3 years imprisonment, or fine, or both, or community service; if declared proclaimed offender: up to 7 years imprisonment and fine",Non-Bailable (if PO),Cognizable,Contempts of the lawful authority of public servants
210(a),Failing to produce/deliver a document or electronic record to a public servant when legally bound to do so.,"Simple imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
210(b),"Same as above, but when required to be submitted to a court.","Simple imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
211(a),Failing to provide required notice or information to a public servant as mandated by law.,"Simple imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
211(b),"When the omitted information relates to an offence, its prevention, or the apprehension of an offender.","Simple imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
211(c),"Failing to give notice/information required under Section 394 of BNSS, 2023.","Imprisonment of either description up to 6 months, or fine up to ₹1,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
212(a),"Furnishing false information, as true, to a public servant when legally bound to provide correct information.","Simple imprisonment up to 6 months, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
212(b),"When the false information relates to the commission, prevention, or apprehension of an offence.","Imprisonment of either description up to 2 years, or fine, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
213,Refusal to take an oath or affirmation to state the truth when legally required by a competent public servant.,"Simple imprisonment up to 6 months, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
214,Refusing to answer a question lawfully asked by a public servant when legally bound to state the truth.,"Simple imprisonment up to 6 months, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
215,Refusing to sign a statement made by oneself when required to do so by a legally competent public servant.,"Simple imprisonment up to 3 months, or fine up to ₹3,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
216,"Making a false statement under oath or affirmation to a public servant or legally authorised person, knowing or believing it to be false.","Imprisonment up to 3 years, and fine",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
217,Giving false information to a public servant intending or knowing it is likely to cause harm by misuse of lawful power.,"Imprisonment up to 1 year, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
218,"Resisting a public servant who is lawfully taking property, knowing or having reason to believe the person is a public servant.","Imprisonment up to 6 months, or fine up to ₹10,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
219,Intentionally obstructing any sale of property offered by a public servant lawfully.,"Imprisonment up to 1 month, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
220,"Purchasing or bidding at public sale on behalf of someone legally incapacitated, or without intent to fulfil obligations from bidding.","Imprisonment up to 1 month, or fine up to ₹200, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
221,Voluntarily obstructing a public servant while performing his official duties.,"Imprisonment up to 3 months, or fine up to ₹2,500, or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
222,"Intentionally omitting to assist a public servant when legally bound to do so. If the assistance is demanded in cases like arrest, riot, or escape, the punishment is higher.","(a) Up to 1 month or ₹2,500 fine or both; (b) If in critical cases (e.g. arrest, riot) – up to 6 months or ₹5,000 fine or both",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
223,Disobeying a lawful order by a public servant. Punishment varies based on whether the disobedience causes obstruction/annoyance or danger to life/safety/riot.,"(a) If causes obstruction/annoyance: Up to 6 months or ₹2,500 fine or both; (b) If causes danger/riot: Up to 1 year or ₹5,000 fine or both",Bailable,"Cognizable if riot/affray caused, else Non-Cognizable",Contempts of the lawful authority of public servants
224,Threatening a public servant (or someone connected to them) to influence their official duties.,Up to 2 years or fine or both,Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
225,Threatening someone to stop them from seeking legal protection from a public servant.,Up to 1 year or fine or both,Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
226,Attempting suicide to influence or prevent a public servant from doing their official duty.,"Up to 1 year or fine or both, or community service",Bailable,Non-Cognizable,Contempts of the lawful authority of public servants
227,"Knowingly making a false statement under oath or when legally bound to speak the truth. Includes verbal and written statements, and false statements about belief.",Up to 7 years and fine,Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
228,"Creating false documents, entries, or circumstances intended to mislead judicial/public/legal proceedings and cause wrong opinions to be formed.",Up to 7 years and fine,Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
229,"Giving or fabricating false evidence in a judicial proceeding: up to 7 years + ₹10,000 fine; in other cases: up to 3 years + ₹5,000 fine.",Judicial: Up to 7 yrs + fine; Non-judicial: Up to 3 yrs + fine,Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
230,"Giving or fabricating false evidence to wrongfully convict someone of a capital offence. If innocent person is executed, the offender may face death penalty or life imprisonment.","Life imprisonment or up to 10 yrs + ₹50,000 fine; if execution caused: death or same as above",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
230(1),Giving or fabricating false evidence intending or knowing it likely to cause conviction of a capital offence.,"Imprisonment for life, or rigorous imprisonment up to 10 years, and fine up to ₹50,000",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
230(2),If an innocent person is convicted and executed due to false evidence under 230(1).,"Death, or punishment as specified in 230(1)",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
231,False evidence intending to cause conviction of offence punishable with life imprisonment or 7+ years.,Punishment equal to the punishment prescribed for that offence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
232(1),Threatens someone with injury to make them give false evidence,"Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
232(2),If innocent is convicted and sentenced due to false evidence caused by threat,Same punishment as awarded to the innocent person,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
233,Uses or attempts to use evidence known to be false or fabricated,Same punishment as for giving/fabricating false evidence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
234,"Issues or signs a false certificate, knowing it is materially false",Same punishment as for giving false evidence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
235,"Uses false certificate as true, knowing it is materially false",Same punishment as for giving false evidence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
236,"Making a false statement in a declaration receivable as evidence, knowing or believing it to be false",Same punishment as for giving false evidence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
237,"Corruptly using a false declaration as true, knowing it to be false",Same punishment as for giving false evidence,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
238(1),Causing evidence to disappear or giving false info to screen offender where offence is punishable with death,Imprisonment up to 7 years and fine,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
238(2),"Same as above, but for offence punishable with life imprisonment or imprisonment up to 10 years",Imprisonment up to 3 years and fine,Bailable,Cognizable,False Evidence and Offences Against Public Justice
238(3),"Same as above, but for offence punishable with imprisonment of less than 10 years","Imprisonment up to ¼ of the max punishment for the offence, or with fine, or with both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
239,"Knowingly or having reason to believe an offence was committed, intentionally omits to inform authorities when legally bound to do so","Imprisonment up to 6 months, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
240,"Knowingly or having reason to believe an offence occurred, gives false information about it","Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
241,"Secreting, destroying, or rendering illegible any document or e-record to prevent its production in Court or before a public servant","Imprisonment up to 3 years, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
242,Falsely personating another and acting in that assumed identity in any legal proceeding.,"Imprisonment up to 3 years, or fine, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
243,Fraudulently transferring or hiding property to prevent it from being seized as forfeiture or to satisfy a court order or decree.,"Imprisonment up to 3 years, or fine up to ₹5,000, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
244,"Fraudulently claiming property one has no right to, to prevent its seizure as forfeiture or under a court order or decree.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
245,Causing or allowing a decree to be passed for an amount not due or for a satisfied debt/property to be enforced again.,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
246,"Fraudulently or dishonestly making a claim in court known to be false, with intent to injure or annoy any person.","Imprisonment up to 2 years, and fine",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
247,"Fraudulently obtaining or executing a decree or order for an amount not due, or for a satisfied claim.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-Cognizable,False Evidence and Offences Against Public Justice
248(1),"Falsely charging someone with an offence or instituting criminal proceedings knowing there is no legal ground, intending to injure them.","Imprisonment up to 5 years, or fine up to ₹2,00,000, or both",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
248(2),"False criminal charge with respect to offences punishable with death, life imprisonment, or imprisonment for 10 years or more.",Imprisonment up to 10 years and also fine,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
249(a),"Harbouring or concealing an offender known or reasonably believed to have committed an offence punishable with death, intending to screen them.","Imprisonment up to 5 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
249(b),Harbouring or concealing an offender known or reasonably believed to have committed an offence punishable with life or imprisonment up to 10 years.,"Imprisonment up to 3 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
249(c),Harbouring or concealing an offender known or reasonably believed to have committed an offence punishable with imprisonment between 1 and 10 years.,"Imprisonment up to one-fourth of the longest term provided for the offence, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
250(a),Accepting or attempting to obtain any gratification or restitution to conceal offence punishable with death or screen offender.,"Imprisonment up to 7 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
250(b),Accepting gratification or restitution to screen offender of offence punishable with life or imprisonment up to 10 years.,"Imprisonment up to 3 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
250(c),Accepting gratification or restitution to screen offender of offence punishable with imprisonment less than 10 years.,"Imprisonment up to one-fourth of longest term provided, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
251(a),Giving or offering any gratification or property restoration to conceal offence punishable with death or screen offender.,"Imprisonment up to 7 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
251(b),Giving or offering gratification or property restoration to screen offender of offence punishable with life or imprisonment up to 10 years.,"Imprisonment up to 3 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
251(c),Giving or offering gratification or property restoration to screen offender of offence punishable with imprisonment less than 10 years.,"Imprisonment up to one-fourth of longest term provided, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
252,"Taking gratification under pretense or on account of helping recover movable property deprived by an offence, without using all means to apprehend offender.","Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
253(a),Harbouring or concealing person who escaped custody or ordered to be apprehended for offence punishable with death.,"Imprisonment up to 7 years, and fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
253(b),Harbouring or concealing person escaped custody or ordered to be apprehended for offence punishable with life or up to 10 years.,"Imprisonment up to 3 years, with or without fine",Bailable,Cognizable,False Evidence and Offences Against Public Justice
253(c),Harbouring or concealing person escaped custody or ordered to be apprehended for offence punishable with imprisonment less than 10 years.,"Imprisonment up to one-fourth of longest term, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
254,"Harbouring persons about to commit or who recently committed robbery or dacoity, to facilitate or screen them from punishment.","Rigorous imprisonment up to 7 years, and fine",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
255,Public servant knowingly disobeys legal directions intending to save person from punishment or property from forfeiture.,"Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
256,Public servant knowingly frames an incorrect record or writing to cause loss/injury or to save person from punishment/property forfeiture.,"Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
257,"Public servant corruptly or maliciously makes/pronounces any report, order, verdict, or decision knowing it to be contrary to law.","Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
258,Person with authority commits or keeps someone in confinement knowing it is contrary to law.,"Imprisonment up to 7 years, or fine, or both",Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
259,"Public servant legally bound to apprehend or keep in confinement a person, intentionally omits or aids escape.",(a) Up to 7 years if offence punishable with death; (b) Up to 3 years if offence punishable with life or ≤10 years; (c) Up to 2 years if offence <10 years; with or without fine.,Bailable,Cognizable,False Evidence and Offences Against Public Justice
260,"Public servant bound to apprehend or confine a sentenced or lawfully committed person, intentionally omits or aids escape.",(a) Life imprisonment or up to 14 years if sentenced to death; (b) Up to 7 years if sentenced to life or ≥10 years; (c) Up to 3 years or fine or both if sentenced <10 years or lawfully committed.,Bailable,Cognizable,False Evidence and Offences Against Public Justice
261,Public servant legally bound to keep person in custody negligently allows escape.,"Simple imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
262,Person intentionally resists or obstructs lawful apprehension or escapes custody.,"Imprisonment up to 2 years, or fine, or both (in addition to original offence punishment)",Bailable,Cognizable,False Evidence and Offences Against Public Justice
263,"Resisting or obstructing lawful apprehension of another, or rescuing/rescue attempt of person in lawful custody.","(a) Up to 2 years or fine or both; (b) Up to 3 years + fine if offence punishable with life or ≤10 years; (c,d) Up to 7 years + fine for serious offences; (e) Up to life or 10 years + fine for death sentence cases",Bailable,Cognizable,False Evidence and Offences Against Public Justice
