BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
112,Petty Organised Crime,A small gang of boys keeps snatching mobile phones from travelers near the bus stand.,"Every week, a few men steal crops from my field at night and sell them in the market.",They break into empty houses and steal small items like fans and utensils.,Some youths trick old people in the name of schemes and steal their money.,They run a small gang that robs people on the highway using fake police uniforms.,Children are used by the gang to enter houses and open locks from inside.,A few men regularly take fuel from parked trucks and sell it secretly.,"They form groups and steal goats, hens, and sell them quickly.",Someone is stealing wires and water pumps from our farms every few nights.,They fake accident claims using staged incidents and take money from vehicle owners.
113,Terrorist Act,"A group came with guns and threatened the whole village, saying “This is our land now.”","Some outsiders are spreading fear, saying they’ll blast the power station.",They are raising anti-national slogans and gathering weapons secretly.,They placed a suspicious bag near the police chowki and ran — everyone panicked.,We’ve heard some men are training young boys to use weapons in the forest.,Loudspeakers are being used to provoke people against the government in public meetings.,A stranger was caught distributing handbills that promote violence and hatred.,They burned the national flag during a protest in our area.,Someone hoisted a flag of a foreign terrorist group near our village temple.,We heard they are planning a bomb attack in the city from the abandoned house nearby.
115,Causing Grievous Hurt,My brother was beaten with an iron rod — his arm is broken and he can’t walk properly.,They attacked my uncle during a land dispute and broke his leg.,He hit my cousin’s head so badly that he lost his memory for days.,My sister was hit with a sickle and she lost an eye.,The boy was pushed into fire and he suffered severe burns.,My friend was attacked with acid and his face is badly damaged.,Someone hit me in the back with a sharp tool — I’ve been in pain for months.,They beat him with a belt till he bled and fainted.,My husband was struck in the chest and now he can’t work due to internal injury.,A heavy object was thrown on his foot and now he’s unable to walk.
117,Hurt to Deter Public Servant,"The officer came to check ration fraud, and villagers beat him and forced him away.",A policeman was trying to stop the illegal sand mining but they beat him and broke his arm.,The health worker came to vaccinate kids and was pushed and abused by the mob.,Someone threatened the school teacher who was reporting forged certificates.,The officer trying to remove encroachments was attacked with sticks and chased.,My uncle is a forest officer — he was hit when he tried to stop illegal wood cutting.,A revenue officer was beaten while measuring land for dispute settlement.,The Gram Sevak was insulted and forced to flee during public announcement.,They attacked the election officer and tore the voting list.,Police were beaten by a mob when they tried to arrest a known criminal.
118,Hurt or Grievous Hurt by Dangerous Weapons,He stabbed my brother with a knife during a market quarrel.,My friend was shot at with a country-made gun over a loan dispute.,"They came with rods and axes, broke into the house and beat my father.",He was hit with a sharp sickle — his hand was cut open.,A heated land fight ended with someone being attacked with a sword.,Acid was thrown at the bride over a rejected proposal.,They came with iron rods during the protest and attacked government staff.,He threw boiling water on my cousin intentionally — his back is burnt.,They used chains and belts to beat a man tied to a tree.,My sister was hurt with a blade by a group of boys during an argument.
119,Hurt or Grievous Hurt to Extort Property,A group beat my father and said “Give us your gold or we’ll kill you.”,They tied my uncle and beat him until he handed over cash from the cupboard.,My cousin was hit with a stick again and again to force him to sign land papers.,He was kidnapped and beaten until he agreed to transfer his shop.,"They tortured my mother saying “Give your jewellery, or face worse.”",They broke into our house and beat my brother till he told the ATM PIN.,"He was locked in a room, badly beaten, and forced to pay fake debt.",He was blackmailed and assaulted to sign fake loan documents.,The attackers took our harvest forcibly after threatening to beat us again.,My wife was threatened with violence if we didn’t hand over our buffalo.
120,Hurt or Grievous Hurt to Extort Confession or Recover Property,Police kept beating my cousin to force him to admit theft he didn’t do.,"He was accused wrongly, but they hit him to accept the blame.",The shopkeeper was tortured to confess about goods he never stole.,"They slapped and beat me, asking where I hid the phone — I didn’t even take it.",The police kicked my brother to make him admit something he didn’t do.,He was tied and beaten for hours to confess to a crime he didn’t commit.,They wanted him to return lost money and used force to scare him.,He was threatened with more beatings if he didn’t confess quickly.,My uncle was hit with a baton until he said what they wanted to hear.,A boy was beaten at school for denying theft — later someone else was found guilty.
121,Hurt to Deter Public Servant,"My cousin, who works with the forest department, was hit while stopping illegal tree cutting.",A villager slapped the revenue officer when he came to measure land boundaries.,Our Panchayat official was beaten when he tried to stop misuse of funds.,The anganwadi worker was pushed and verbally abused while doing home visits.,Someone threw stones at the ASHA worker during vaccine duty.,The patwari was locked in a room by locals who didn’t want their land inspected.,"Government officers came to our village, and one was hit with a bamboo stick.",They snatched papers from the school inspector and shoved him during the check.,A road construction engineer was threatened and beaten for not releasing payment.,Local mafia men beat the tehsildar when he went to shut illegal shops.
122,Hurt on Provocation,He slapped me after I abused him during a heated argument.,"We were fighting over water, and in anger, he pushed me and I fell.","After I accused him of theft in front of others, he hit me on the head.","I insulted him for blocking the road, and he suddenly punched me.",He got provoked when I shouted at his son and hit me.,"After I called him a liar, he hit me with his slipper.","He was angry that I didn’t return his money, so he slapped me in public.",My brother said something offensive and got beaten up.,I taunted him during a game and he hit me with a stick.,He was upset with my comment and threw a stone at me.
123,Poison or Similar to Commit Offence,Someone mixed poison in my food during the festival feast.,I drank tea from their house and fainted — later found it was drugged.,My cousin's drink was laced with sleeping tablets during the marriage.,He gave jaggery to my child with something bitter inside.,A neighbour added something strange to my water bottle.,I fell unconscious after eating food they gave during temple work.,They gave sweets to my wife and she fell sick instantly.,The drunk man gave milk to my son which had acid — he's badly hurt.,My uncle was served poisoned curry by relatives in a dispute.,A man gave drug-laced water to villagers and stole their mobile phones.
124,Grievous Hurt by Acid Use,A man threw acid on my cousin because she refused his proposal.,My sister-in-law was attacked with acid over a dowry issue.,"During a quarrel, they splashed acid on my face — I lost vision.",He came with a bottle and threw it at my friend while she was working.,She was attacked with chemical water when leaving college.,Acid was thrown from a scooter by masked men — my cousin was injured.,The girl rejected the boy’s love — next day he threw acid on her.,She was hurt badly with acid after posting against someone online.,They mixed acid in water and splashed it during the Holi fight.,The attacker used bathroom cleaner acid to disfigure my niece.
126,Wrongful Restraint,They blocked my bike on the road and didn’t let me pass without reason.,My path to the farm was purposely blocked with bricks.,He stood in front of my house all day and didn't let me step out.,They stopped our bullock cart and said “You can’t go unless we say.”,The school gate was locked from outside to keep teachers inside.,My neighbor blocked the village path with logs to stop me from crossing.,Someone parked their tractor across the only road to the market.,They didn’t let my wife attend the temple function by stopping her midway.,He stood at the well and didn’t let others take water.,My field was surrounded by people so I couldn’t go in or out.
127,Wrongful Confinement,My cousin was locked inside a room for two days during a property fight.,I was tied up and left in the storeroom for hours.,They forced me into a house and locked the door behind.,My sister was taken away and locked inside the house by the in-laws.,They confined my brother in a godown and didn’t let him call anyone.,They kept my uncle in a cowshed to threaten him.,My friend was locked in a bathroom at school by seniors.,The landlord shut us in our room for not paying rent.,They kidnapped and confined my niece in a nearby abandoned house.,A group confined us in the panchayat building during protest.
131,Assault/Criminal Force (Not on Grave Provocation),He pushed me on the road for no reason while walking.,I was hit with a bucket while standing in line for ration.,Someone slapped me while I was talking in the temple.,He hit me with a newspaper over a casual disagreement.,A stranger shoved me at the bus stop and ran.,He poured water on me as a joke but hit me hard later.,My uncle was slapped by a shopkeeper over a minor price dispute.,A man came and kicked my bike while it was parked.,She pulled my hair because I didn't greet her.,I was pushed out of the queue without any provocation.
132,Assault to Deter Public Servant,A man threatened and pushed the policeman trying to catch him.,The officer came to check pollution and was slapped.,A gang member kicked the tax officer during an inspection.,The electric board worker was beaten for cutting illegal connection.,They manhandled the doctor during COVID vaccination.,A municipal cleaner was slapped for refusing bribe.,The police constable was hit while stopping loud music at night.,The traffic inspector was abused and shoved near the market.,My cousin was threatened when he asked villagers to wear helmets.,Someone attacked the bank officer during loan recovery.
133,Assault with Intent to Dishonour,They tore my father's clothes in the village meeting to insult him.,My sister was pushed and had her dupatta pulled in public.,I was forced to sit on the floor and mocked by relatives.,Someone threw cow dung on my cousin to shame him.,My uncle was dragged out of the temple to dishonour him.,A woman’s saree was pulled off in the crowd to humiliate her.,He was slapped in front of everyone during the panchayat to insult him.,A drunk man used abusive words to make fun of our caste.,They made a video of my daughter dancing forcefully and leaked it.,My husband was made to beg for forgiveness in public as punishment.
134,Assault or Criminal Force to Commit Theft,"I was carrying wheat sacks, and they attacked me to snatch them.",My uncle was beaten near the mandi and his wallet was stolen.,A group pushed me and ran away with my mobile.,"While returning from the bank, someone hit me and took all my cash.",I was slapped at the bus stop and my gold chain was snatched.,Two men hit me and took my cycle away.,My cousin was delivering milk when he was punched and his money stolen.,Someone pulled me down from the cart and ran off with the goods.,He came pretending to help but slapped me and took my bag.,They beat me and took my tools from the field.
135,Assault to Confine a Person Wrongfully,They beat my brother and locked him in a room over a land fight.,My sister was dragged and kept inside a house to stop her marriage.,I was hit and pushed inside a vehicle to prevent me from voting.,"A group caught me, slapped me and locked me till night.",They stopped my husband from going to the police and confined him.,Some men hit me and didn’t let me leave their shop.,They assaulted the girl and hid her in their house for hours.,My cousin was beaten up and taken away during the protest.,I was stopped and kept forcibly at their house after a fight.,My wife was hit and locked inside by her in-laws.
136,Assault on Grave Provocation,He insulted my deceased father and I slapped him in anger.,I hit him because he abused my mother badly.,"He called my wife names, so I pushed him during the argument.","After hearing caste abuses, I lost control and hit him.","He accused me of theft publicly, and I slapped him.","He threatened my child, so I threw a stone at him.",He tore my land papers in front of everyone — I hit him.,He spit on my doorstep — I got angry and pushed him.,"He cursed my ancestors, and in the moment, I hit back.","He insulted my disabled son, and I slapped him in rage."
137,Kidnapping,My 12-year-old son was taken by a stranger in a van.,A man came on a bike and took my daughter without telling us.,They took my younger brother from school and we don’t know where.,Someone took away my niece while she was playing outside.,My child went missing after talking to someone unknown.,A boy from our village hasn’t returned home after going to tuition.,My daughter was taken away by a man promising marriage.,They lured my son with sweets and kidnapped him.,Two men asked for help and drove away with my grandson.,My nephew was kidnapped from the market.
138,Abduction,A man forcibly took my sister from the road to a hidden place.,They dragged my cousin into a car and drove off.,My friend was taken away by force from his house by strangers.,She was walking to school when someone grabbed and took her.,They abducted my wife while she was returning from the temple.,A local gang abducted my uncle over a money dispute.,He was taken by force to settle a score.,My relative was threatened and abducted to sign documents.,My daughter was taken away by someone while shopping.,A boy was abducted and kept to demand land documents.
139,Kidnapping/Maiming Child for Begging,They took a child and made him beg at the bus stop with wounds.,A girl from our village was taken and later seen begging in town.,"My neighbor's son was kidnapped, then seen limping and begging.","They took a child, hurt his leg, and forced him to beg.",I saw someone with multiple children using them for begging.,A child from our school vanished and now begs in another district.,I saw a group forcing kids to beg near railway station.,The kidnapped boy had a bandaged arm and was begging at the temple.,"My nephew was taken, hurt, and seen on street asking for food.",Children were crying and held with ropes while begging.
140,Kidnapping for Ransom or Murder,My brother was taken by masked men and they demanded ₹5 lakh.,My cousin was kidnapped and a message came asking for gold.,A child was taken and the kidnappers said they’ll kill him if we inform police.,"My friend was taken, and they said they’ll release him only after payment.",A stranger called and demanded ransom after kidnapping my uncle.,My father was taken and threatened with death if we didn’t pay.,My sister was abducted and we received a call for money.,They sent a photo of him tied up and demanded ₹1 lakh.,A ransom letter came after my son was missing.,"We received threats after kidnapping, saying “Don’t go to police.”"
141,Importing Girl or Boy from Foreign Country,A girl was brought from Nepal and kept in a shady place in our town.,A boy from Bangladesh was seen doing labor work in our village.,We heard someone brought girls from outside India to work in their dance group.,My friend told me girls are coming from Myanmar for marriage fraud.,Police caught a man who brought minors from another country to sell.,A girl was kept secretly in a house and she doesn't speak our language.,They brought a child from another country for begging.,A lady told us she was tricked and brought from across the border.,A foreign boy is working under someone and always looks scared.,My neighbor brought a girl from outside saying she’ll work as maid.
142,Hiding Kidnapped or Abducted Person,A girl was kept hidden in the neighbor's house — turned out she was kidnapped.,The boy was locked in the cow shed for 3 days by the abductors.,My cousin was kidnapped and hidden in a house nearby for days.,They knew he was kidnapped but didn’t inform police and kept him inside.,The abducted child was found tied in a storeroom.,A girl was hidden in a field house — no one was allowed to go there.,A missing boy was found in the garage of a known criminal.,My uncle was confined in a village house after being abducted.,They helped in hiding the person who was taken by force.,The victim was hidden in plain clothes and moved from one house to another.
143,Trafficking of Person,A man offered my cousin a job in another city and then sold her.,"My friend was taken to work in Delhi, but she ended up in a brothel.",They promised work in a factory but forced people into slavery.,Girls from nearby villages are being taken and never returning.,Someone tricked 3 people from my village and sold them in a city.,A boy from our street was sent out and found in a begging racket.,Women were offered hotel jobs but forced into illegal work.,Children were taken for circus jobs but used for begging.,Girls were trafficked from village to dance bars in towns.,Men were taken for labor but never paid or allowed to return.
144,Exploitation of a Trafficked Person,They brought my sister from another town and made her work in their house without pay.,A girl from our village was taken to the city and forced to do dirty work.,My cousin was kept locked and forced to work for free.,They treat the girl like a servant and don't let her go outside.,I saw a child cleaning a hotel from early morning to late night.,A man forced the girl to dance and hit her when she refused.,She was brought here for a job but is not allowed to leave the house.,A trafficked boy is made to do hard work in a shop and is never paid.,They threatened the girl if she told anyone about her situation.,The children working there look scared and always hungry.
145,Habitual Dealing in Slaves,That man keeps bringing poor girls and boys and makes them work like animals.,I have seen him sell many children to different people.,He goes to different villages and returns with girls for work.,He’s always involved in buying and selling people for money.,Everyone says he deals in people like goods.,Girls go with him and are never seen again.,"Police caught him once, but he continued doing the same.",My uncle says he takes kids and gives them to hotels to work.,He keeps workers locked in a house and gives them no food.,People say he has connections with gangs who sell people.
146,Unlawful Compulsory Labour,The landlord forced my son to work without giving him anything.,"I was made to clean the field every day, or they threatened to beat me.",My wife had to work in their house because we owed them money.,They take our ration card if we refuse to work.,We are being forced to do labour on the promise of wages that never come.,I worked for them many days but got no money.,They won’t let us leave the village unless we complete work.,I was threatened that my children will be harmed if I don't work.,They said we have to work for them because we are poor.,My sister was forced to wash clothes every day without pay.
147,Waging War Against Govt of India,Some men came and talked about fighting the Indian army.,They are collecting weapons and training in the forest.,Posters were put up saying they will make their own rule.,They forced villagers to support their war against the government.,I heard them talking about attacking a police post.,They burned the national flag and said they don’t believe in India.,They have made a group that wants to remove the police from here.,Someone is bringing young boys to join a gang against the state.,My cousin was taken to attend their secret training.,They are spreading hate and asking for a separate nation.
148,Conspiracy to Commit Offence Under Sec 147,My brother joined people secretly planning to attack the government office.,They are discussing plans to create riots and violence.,Some men are asking villagers to rise up and fight the police.,They told me not to inform anyone and talked about rebellion.,They are preparing bombs and sharing plans on phones.,Someone from another state came and met them at night.,I heard them saying they’ll attack the police when the time is right.,They are planning something big against the government.,Meetings are held secretly at night in the temple.,My friend said they’re plotting war but staying hidden for now.
149,Collecting Arms with Intent to Wage War,I saw guns hidden under the crop storage area.,They keep bringing long sticks and sharp weapons secretly.,Someone came from the city and dropped off rifles.,I heard talks of them storing explosives in a well.,They took big sacks to the jungle – said it’s weapons.,Villagers are hiding swords and iron rods.,I found a knife bundle while passing by their house.,Police found a box full of bullets in an abandoned house.,There are rumors they have guns buried in the field.,A local mechanic is fixing weapons for them.
150,Concealing Design to Wage War,My neighbor knew about their attack plans but kept quiet.,They saw them collecting weapons and didn’t tell police.,My uncle heard everything but was afraid to inform.,They live with them and know all plans but stay silent.,They even helped hide the papers and maps for attack.,One person was told to alert police but never did.,He supports their plan and doesn’t inform authorities.,Someone is giving shelter to those planning a war.,He told me not to say anything as the group is dangerous.,"I know they are planning something, but others won’t listen."
151,Assaulting President/Governor to Restrain Power,People threw stones at the Governor during a rally.,A man tried to slap the President in public.,They jumped barricades and ran toward the Governor.,"Slogans were shouted, and eggs thrown at the President’s car.",Guards had to stop angry men trying to attack.,Someone pushed a minister and demanded resignation.,Youths threw ink at the CM in a protest.,A mob tried to surround the Governor and force him to cancel a law.,People climbed the stage and tried to grab the microphone.,My brother was there when a shoe was thrown at a government officer.
152,"Act Endangering Sovereignty, Unity and Integrity of India",They said India should be divided into pieces.,I saw someone burning the flag during a speech.,Posters were spread saying “We don't belong to India.”,They refused to follow Indian law in our area.,A man gave a speech supporting enemies of the nation.,They told us to remove the tricolor from our homes.,A video was shown abusing the Indian constitution.,He is openly asking youth to join forces against India.,Villagers are being taught not to trust Indian courts.,They are rejecting Indian authority and creating fear.
153,Waging War Against Foreign Friendly Nation,They are planning to attack people from a neighboring country.,A man said he wants to destroy our friendship with another country.,Youths were told to join training camps to harm another nation.,They made threats against foreigners in our area.,Posters were put up encouraging war against a foreign country.,A group discussed plans to cross the border and start violence.,They said we should not be friends with that country and attack them.,Someone tried to damage a building where foreign guests were present.,He spoke in a rally to break peace with another country.,They are spreading hate against nations that are India’s partners.
154,Committing depredation on territories of foreign State at peace with India,He crossed the border and stole cattle from another country.,A group from our village raided farms across the border.,They took goods from shops in a friendly country.,I heard they went across and looted crops during the night.,Some men bragged about robbing foreigners near the border.,They attacked traders who came from another country.,They burnt property across the border to show power.,A local group crossed into Nepal and took grains by force.,They said no need for permission to take from other land.,I heard our people went on trucks and returned with stolen items.
155,Receiving property taken by war or depredation (Sec 153/154),He was hiding things stolen from across the border.,My brother accepted gold brought from another country after a raid.,Villagers were dividing looted goods from foreign lands.,I saw stolen foreign items being sold in our market.,He knew it came from across the border but still bought it.,They hid guns and clothes taken from a foreign territory.,I found him with bags filled with unknown goods from outside India.,A man said he got these things from a fight near the border.,They smuggled the items and shared it among family.,Someone gave him a phone looted from foreigners and he kept it.
156,Public servant voluntarily allowing prisoner of State/war to escape,The police guard opened the door and let the prisoner walk out.,He accepted bribe and helped the captured man run away.,Everyone saw the officer removing the chains from that man.,The guard told him to go and pretended not to see.,He left the gate open knowing the prisoner might escape.,The jailer took money to help him flee.,He helped him change clothes and slip out at night.,The officer told us to keep quiet and freed him.,That officer was friendly with the prisoner and helped him.,He didn’t call backup and let him escape through the back road.
157,Public servant negligently allowing prisoner of State/war to escape,The constable was sleeping and the prisoner ran away.,He forgot to lock the door and now the man is missing.,The prisoner escaped because no one was watching.,They didn’t check the chains properly and he fled.,The guard was busy on the phone while the man ran.,No one noticed when the prisoner slipped away during meal time.,"They didn’t lock the gate, and he ran off in the dark.",The police van door was loose and the prisoner escaped.,The officer didn’t count the prisoners and one was gone.,The jailer trusted him too much and didn’t take precautions.
158,"Aiding escape of, rescuing or harbouring such prisoner",I saw someone helping a prisoner hide in a house.,My neighbour gave food to the escaped prisoner.,He helped him dress like a farmer and run away.,They took him to a nearby village to hide.,A man built a fake identity card for the prisoner.,They hid the prisoner in the forest for a week.,My uncle gave shelter to someone who had escaped jail.,He knew he was from jail but still helped him escape.,They gave him clothes and food to survive in hiding.,Villagers protected him from being caught again.
159,"Abetting mutiny or seducing soldier, sailor, airman from duty",A man told the soldier to disobey his officers.,He told the army man to leave his post and come home.,They convinced him to stop following army rules.,My cousin was told to quit the army and join protests.,A man said soldiers should not listen to the government.,He was told there’s no need to respect orders anymore.,They tried to make soldiers turn against their seniors.,He was told to leave the army camp and join a private gang.,Someone promised money if he stopped reporting to duty.,They told the young recruit not to fight for the country.
160,Abetment of mutiny if mutiny is committed,A man told soldiers to attack their own officer and they did.,He planned with them and they all rebelled against command.,"After his speech, army men refused to obey orders.","The camp was taken over by jawans who were angry, due to his instigation.",He encouraged them to shoot at their commander.,"A man asked soldiers to revolt, and they started a mutiny.",He promised protection and they openly disobeyed.,The officer was locked by soldiers after they followed his words.,"He said the army shouldn’t follow rules, and they agreed.","After his visit, the base turned violent against its own."
161,"Abetment of assault by soldier, sailor, airman on superior officer","A man said “hit your officer, he treats you badly.”",They provoked soldiers to slap their commander.,Someone said the senior officer must be beaten to teach a lesson.,He encouraged assault after a punishment order was passed.,They told a group of soldiers to attack their superior.,My cousin in the army said he was told to push back against his captain.,A local leader urged army men to show power by beating officers.,"They told him, “don't take orders, hit back.”",A video spread asking soldiers to rise and hit their bosses.,"He said, “they treat you like dogs, fight back physically.”"
162,Abetment of such assault if assault committed,"After his advice, soldiers attacked the officer on duty.",The senior was assaulted after being provoked by a civilian.,He encouraged violence and it actually happened.,Soldiers listened to his advice and started beating the officer.,A man’s speech caused actual assault on a commander.,He gave orders and the army men obeyed and attacked.,Soldiers pushed their captain after someone told them to act.,His words directly led to harm of the senior officer.,"After his talk, the violence began at the military post.",The assault was done by soldiers after his direct instigation.
163,"Abetment of desertion of soldier, sailor or airman",A local man told the army recruit to run away from base.,"He was told “no need to serve anymore, leave.”",They promised job if he deserted the army.,He was told to escape from camp during leave.,"A man said “don’t go back to duty, stay here.”",They convinced him to not return after holidays.,A boy ran from navy after someone told him it’s a bad job.,"He was told army life is waste, just escape.",They helped him hide after he left the base.,"A person said, “Forget orders, your life matters more, run away.”"
164,Harbouring deserter,I saw a man hiding an army deserter in his house.,They knew he ran from the military but gave him food and shelter.,My uncle gave money to a soldier who ran away from duty.,People in the village protected the man who escaped army camp.,He refused to report the deserter even after knowing everything.,They lied to the police and said he’s a relative.,The shopkeeper helped the deserter buy clothes to look like a civilian.,They allowed him to stay in their shed at night.,A villager helped him cross into another state.,"My cousin ran from duty, and we kept him hidden."
165,Deserter concealed on merchant vessel due to master’s negligence,The ship captain didn’t check the IDs and a deserter boarded.,A runaway soldier hid in the cargo and the captain ignored it.,They found a soldier hiding and the captain said he didn’t notice.,The officer didn’t report the strange passenger who wasn’t on the list.,A sailor escaped and no one on the ship even asked him questions.,The deserter stayed on board the boat for two days without anyone knowing.,The captain allowed a man to sail who had no papers.,A soldier dressed as a fisherman entered the vessel unnoticed.,No one did a proper check on passengers before sailing.,The crew ignored complaints that someone was hiding below deck.
166,"Abetment of act of insubordination by soldier, sailor or airman",The village elder told the jawan not to salute his officer.,Someone advised the soldier to not follow orders.,He was told to ignore his commanding officer's instructions.,"They said “Don’t listen to your seniors, they don't care about you.”",My brother was told to disobey rules by a neighbor.,The youth group provoked the jawan to break the chain of command.,The army man was encouraged to argue with his officer.,He was advised to do the opposite of what the senior said.,Some men told him “You are not a servant to anyone.”,A shopkeeper said “Why take orders from someone younger than you?”
167,Persons subject to certain Acts,I was told military rules don’t apply to me because I’m not in service.,The officer said only navy men are covered under this rule.,I asked about law and was told it’s for army staff only.,"My brother is a civilian, so this doesn’t affect him.",People said this section is only for uniformed persons.,I saw it applied to air force people during their training.,The rule didn’t apply to us because we are not enlisted.,The police said this law is only for those under army act.,They said the law applies only if you’re on active duty.,It’s for people working directly in armed forces.
168,"Wearing garb/token used by soldier, sailor or airman",A man in the village wore full army uniform for wedding.,"Someone wore medals and badges like he's in the army, but he's not.",He dressed like a soldier to impress people.,The boy walked around in army dress and everyone thought he's a jawan.,He wore air force cap and gave fake salute to fool others.,The tailor stitched a uniform and gave it to someone not in the army.,"At the fair, a man dressed as navy officer to get free entry.",They wore camouflage dress to look like military men.,I saw him wearing army tags and walking in school function.,Someone used army dress to act like he had power.
169,"Candidate, electoral right defined",I want to stand in elections but don’t know the process.,"They said I can vote but not contest, is it true?",Who is eligible to be called a candidate in election?,Can anyone above 18 vote and become a candidate?,They told me not everyone can contest in elections.,I asked if I can withdraw my name after nomination.,What rights do I have as a voter?,Can women from village become election candidates too?,My vote was not accepted—why?,Can I vote from my village if I work in another town?
170,Bribery,A man gave me money to vote for his party.,They promised free ration if I vote for them.,I was offered a job in return for supporting a candidate.,Someone gave gifts in the village for votes.,I got money inside an envelope after a rally.,"He said if I bring 10 votes, I’ll get ₹1000.",My cousin was promised a loan waiver for voting.,They distributed liquor before elections.,Our family was given free gas cylinders for support.,The local leader gave my uncle cash to attend his speech.
171,Undue influence at elections,I was threatened if I didn’t vote for them.,They said my ration will be stopped if I vote for the other party.,My employer told me who to vote for.,The village head warned me not to vote for opposition.,Someone came and scared my parents about voting.,They said my land papers will be taken if I don’t support them.,I was told to vote only in front of them.,They locked women in house on voting day.,My school teacher asked students' families to vote for one party.,I was warned I won't get work if I don’t vote as told.
172,Personation at elections,A man voted in place of my brother.,Someone used my voter ID and cast vote.,"My name was already marked, but I hadn’t voted yet.","They said I had already voted, but I never did.",One person used fake ID to vote multiple times.,I saw someone signing with different names at the booth.,A man wore a burqa and claimed to be someone else.,My sister’s vote was used without her knowing.,The same person came twice in queue with two IDs.,I saw a group voting using fake IDs for people who didn’t come.
173,Punishment for bribery,Will the person giving money for votes go to jail?,What happens to those caught distributing liquor in elections?,My friend gave money to 10 people for votes – is it a crime?,"They say taking money for vote is not punishable, is that true?",Can the police arrest people who give or take bribes for votes?,"If I refuse to vote after taking money, can I be punished?",The party gave me ₹500 to attend rally – will they be caught?,I recorded someone giving bribe – what should I do?,Will both giver and taker of vote money be punished?,A politician was caught bribing villagers – what is the punishment?
174,Punishment for undue influence/personation,The man who forced us to vote was caught – what will happen?,What punishment is given for voting in someone else’s name?,They threatened women to vote – what is the jail term for this?,Can police arrest someone who uses fake ID for voting?,I saw a man vote twice – what action can be taken?,They scared villagers and made them vote – is that a crime?,My uncle cast vote in place of my aunt – will he go to jail?,A leader used fear to gather votes – what punishment applies?,The person faked his identity on voting day – can we file a case?,What is the fine for misusing someone’s voter card in election?
175,False statement in connection with an election,"A man lied about his education in election forms, is it a crime?",They submitted fake property details during nomination.,A candidate hid criminal cases in the form.,He gave a wrong age in the election application.,Is it illegal to mention a wrong income in affidavit?,The politician gave a false caste certificate – what happens?,A man claimed to be from a backward class to get votes.,Our leader lied in papers to get elected – can we report?,Can someone be jailed for false details during elections?,What is the punishment for hiding information in election forms?
176,Illegal payments in connection with an election,I saw money being paid to organize a rally without permission.,They paid voters on polling day – is that legal?,Free distribution of goods before vote – is it allowed?,They hired autos and gave money to bring voters – is it legal?,My friend said he got ₹200 to attend a speech – is that legal?,A local neta paid for meals for 200 people during elections.,They transferred money to accounts right before voting.,Party workers gave cash envelopes in temple – is that allowed?,Are cash gifts considered illegal payment in elections?,Can someone be punished for spending beyond limit in elections?
177,Failure to keep election accounts,The local leader did not show expenses for his rally – is it a crime?,What if a candidate doesn't record election spending?,My uncle contested but didn’t submit account details – what happens?,Is it required to show every rupee spent during elections?,Who checks the money spent by candidates?,Can someone be disqualified for not keeping election accounts?,A man used his friend’s money to hide expenses – is that legal?,No one in our area submitted spending receipts – is that punishable?,What is the rule if election accounts are incomplete?,Is it a crime if a candidate forgets to submit expense report?
178,False evidence,A man lied in court to save his friend – is that a crime?,They created fake witness for a police case.,Someone gave wrong information under oath – what will happen?,He gave a false alibi for a person in jail.,They made a child say false things in front of judge.,A witness lied in land dispute to favor one party.,What is the punishment for lying in court?,My neighbor gave false testimony in police station.,Is it illegal to support a criminal by lying in court?,Can police take action against someone giving fake statements?
179,Fabricating false evidence,A man made fake documents to use in court.,Someone planted fake proof to mislead investigation.,They created false land papers to win a case.,I saw a forged letter being shown in court.,They used edited photos as court evidence.,My cousin was trapped using false phone messages.,A woman brought fake medical records to get sympathy.,They created false WhatsApp chats as proof.,A man paid someone to pretend as an eyewitness.,Can someone go to jail for planting fake proof in court?
180,Giving false information to public servant,I gave wrong address in a police form – is that punishable?,"A man told police he lost ID, but it was with him.",They gave fake phone number during ration survey.,My friend gave wrong name to officer to avoid fine.,Someone gave false info during police enquiry – what will happen?,Is lying to government officer a criminal offence?,My uncle gave wrong land details to get benefit.,He gave fake complaint to the local officer.,What is the punishment for giving wrong info to police?,Can I be punished for filling false form in government scheme?
181,Refusing to sign statement or answer questions,"Police asked questions, and he didn’t reply – is that allowed?",He refused to sign papers after giving his statement.,I saw someone refusing to give witness details.,Can we say no to police if they ask for information?,What happens if we don't answer during investigation?,A man said he won’t sign anything in front of the officer.,Is it a crime to keep silent when police asks?,They didn’t cooperate during village enquiry.,Can I be arrested for refusing to give statement?,What law applies if I don’t respond to public servant questions?
182,Giving false information with intent to cause harm,My cousin lied to police to trap me – what law punishes that?,A man gave false complaint so that someone gets arrested.,They said I stole something I never touched.,Someone filed fake report just to ruin my name.,Is it illegal to complain falsely to harm others?,What is the law for filing fake FIR to take revenge?,They made false accusations to block my job.,I was blamed for a fight I wasn’t involved in.,Someone gave fake info to police and I was arrested.,What punishment for lying to officers to get someone punished?
183,Threatening public servant,A man threatened the patwari to change land records.,Someone scared the tehsildar to stop an eviction.,They told the forest officer to stay away or be beaten.,Is it a crime to scare government officer?,A villager told the police to back off or face harm.,My uncle shouted threats at the electricity officer.,They surrounded the officer and warned him not to act.,Someone sent threat messages to local official.,What law protects public servants from threats?,Can a person go to jail for threatening a policeman?
